,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240
2000,"(0.3754319481183255, 0.48876708377398004)","(0.28523771532881903, 0.4887670837739801)","(0.30490758112117894, 0.4887670837739801)","(0.2597206423069753, 0.4887670837739801)","(0.23379217838780436, 0.4887670837739801)","(0.34997921852089964, 0.4887670837739801)","(0.2888404535468669, 0.4887670837739801)","(0.29345707745268795, 0.4891161173052288)","(0.18496585670080853, 0.48911611730522875)","(0.23962265016683074, 0.4812351015144875)","(0.326755348833418, 0.49907808224261274)","(0.29521855780672857, 0.49907808224261274)","(0.2364684140790618, 0.49907808224261274)","(0.23045837032879468, 0.4990780822426127)","(0.22809224452862537, 0.49907808224261263)","(0.22116481763288623, 0.4990780822426127)","(0.21722948872739317, 0.4990780822426127)","(0.20920803293423199, 0.49907808224261274)","(0.20593509636052798, 0.49907808224261263)","(0.19910810409993548, 0.49907808224261263)","(0.18632198039037282, 0.4990780822426127)","(0.16101348753375813, 0.49907808224261263)","(0.15341082871306216, 0.4990780822426127)","(0.1459010289656769, 0.49907808224261263)","(0.1342007627240812, 0.49907808224261263)","(0.12605631315200458, 0.49907808224261263)","(0.11860128528250986, 0.49907808224261274)","(0.2457895562314644, 0.5067214557970531)","(0.2304574664927373, 0.506721455797053)","(0.20090439218340359, 0.506721455797053)","(0.1665754918186064, 0.506721455797053)","(0.13416088993400532, 0.506721455797053)","(0.11970276079664047, 0.506721455797053)","(0.10414301281825054, 0.506721455797053)","(0.09091755725446206, 0.506721455797053)","(0.08011213853964927, 0.506721455797053)","(0.07361893113325395, 0.506721455797053)","(0.06332070377416454, 0.5067214557970531)","(0.05273854312991379, 0.506721455797053)","(0.044129562746859315, 0.506721455797053)","(0.04004536348802603, 0.5067214557970531)","(0.03481016304146156, 0.506721455797053)","(0.030835318315705962, 0.5067214557970531)","(0.025715304388212495, 0.5067214557970531)"
2001,"(0.2955823529941628, 0.35899208914357306)","(0.2398214349328634, 0.35899208914357306)","(0.26843616066341613, 0.35899208914357306)","(0.2173119162546435, 0.358992089143573)","(0.18623570794770503, 0.35899208914357306)","(0.25907162871798284, 0.35899208914357306)","(0.22947811778815327, 0.35899208914357306)","(0.24611730250252617, 0.3602556956825916)","(0.17403348050848208, 0.3602556956825916)","(0.2238600342598867, 0.36634370477103123)","(0.27846617722179723, 0.36649362892475423)","(0.22698953046141468, 0.36649362892475423)","(0.2151251548900957, 0.36649362892475423)","(0.21033544828329234, 0.36649362892475423)","(0.20680394893314763, 0.36649362892475423)","(0.20427698984936848, 0.36649362892475423)","(0.2015988204875674, 0.36649362892475423)","(0.20024352670138584, 0.36649362892475423)","(0.19516860650199147, 0.36649362892475423)","(0.18855020321642865, 0.36649362892475423)","(0.18489419241006527, 0.36649362892475423)","(0.1790375867997438, 0.36649362892475423)","(0.158953372077635, 0.3664936289247543)","(0.15231069856576201, 0.36649362892475423)","(0.1451925214411311, 0.36649362892475423)","(0.12910420341750858, 0.36649362892475423)","(0.11097554200848056, 0.36649362892475423)","(0.21973903223525657, 0.33948300657204816)","(0.1150882228816417, 0.33948300657204816)","(0.08571940610443735, 0.33948300657204816)","(0.06682847001331507, 0.33948300657204816)","(0.059220632865315016, 0.33948300657204816)","(0.054247352840423375, 0.3394830065720482)","(0.04534955131045012, 0.33948300657204816)","(0.0389460927206712, 0.33948300657204816)","(0.03403815371006387, 0.3394830065720482)","(0.030327115420742384, 0.3394830065720482)","(0.02559632023139361, 0.33948300657204816)","(0.020504350302894835, 0.3394830065720482)","(0.017220079756696042, 0.33948300657204816)","(0.014738052208488787, 0.33948300657204816)","(0.01310668547058259, 0.33948300657204816)","(0.011440819225750602, 0.3394830065720482)","(0.010049533088547277, 0.33948300657204816)"
2002,"(0.3404978288010453, 0.4889640489190035)","(0.26151894631083256, 0.4889640489190035)","(0.311629021912641, 0.48896404891900347)","(0.26192171571623873, 0.4889640489190035)","(0.22146368145316436, 0.4889640489190035)","(0.29017282215364815, 0.48896404891900347)","(0.2326461913024793, 0.4889640489190035)","(0.2865143082910569, 0.49525191419087644)","(0.17408851844658857, 0.49525191419087633)","(0.25188304226091296, 0.5026357997607848)","(0.35985337885102436, 0.5033722165982755)","(0.325409982882347, 0.5033722165982755)","(0.2955391702365271, 0.5033722165982755)","(0.29121013852877414, 0.5033722165982755)","(0.27717166618906963, 0.5033722165982755)","(0.2700406078639921, 0.5033722165982755)","(0.2625875427376642, 0.5033722165982755)","(0.25637942705850447, 0.5033722165982754)","(0.25111354178606304, 0.5033722165982755)","(0.24593637633474708, 0.5033722165982755)","(0.23946563746960692, 0.5033722165982755)","(0.2101275001933905, 0.5033722165982755)","(0.20656355625487466, 0.5033722165982755)","(0.19865387487953765, 0.5033722165982755)","(0.19014915454450507, 0.5033722165982755)","(0.17742649971645216, 0.5033722165982755)","(0.1721082263070277, 0.5033722165982755)","(0.20851526128572567, 0.5030314811519877)","(0.14767587521446773, 0.5030314811519878)","(0.1205362024495556, 0.5030314811519878)","(0.09403041561887464, 0.5030314811519877)","(0.08237083987364635, 0.5030314811519877)","(0.07096670480340908, 0.5030314811519877)","(0.06632800508793082, 0.5030314811519877)","(0.061824353111322936, 0.5030314811519877)","(0.05223163603386586, 0.5030314811519878)","(0.04954486364753786, 0.5030314811519877)","(0.04361781140587834, 0.5030314811519877)","(0.03877125108143934, 0.5030314811519877)","(0.035694234716264865, 0.5030314811519877)","(0.03226103856111173, 0.5030314811519877)","(0.029905851754814385, 0.5030314811519877)","(0.027711325384695815, 0.5030314811519877)","(0.025609639718406057, 0.5030314811519877)"
2003,"(0.18650824528596954, 0.23096810802713777)","(0.1512983288114602, 0.2309681080271378)","(0.17531059687520145, 0.23096810802713777)","(0.15008803222184078, 0.23096810802713777)","(0.13058500543134788, 0.2309681080271378)","(0.17148683049083863, 0.2309681080271378)","(0.1460218955772957, 0.23096810802713777)","(0.1656256678010508, 0.2351392095104193)","(0.110946344209479, 0.2351392095104193)","(0.1622679974978408, 0.23831815546910018)","(0.19618386747091454, 0.2372572398753293)","(0.17085384863752492, 0.23725723987532926)","(0.16427721348649976, 0.2372572398753293)","(0.1552972560930447, 0.2372572398753293)","(0.1492378669350033, 0.23725723987532926)","(0.14918489266584573, 0.2372572398753293)","(0.14294083445504877, 0.2372572398753293)","(0.14212976300681648, 0.23725723987532926)","(0.13944753640856108, 0.23725723987532926)","(0.1336893201837159, 0.23725723987532926)","(0.12876017795979516, 0.2372572398753293)","(0.12315195176540056, 0.2372572398753293)","(0.11744403902199561, 0.2372572398753293)","(0.09934928810963876, 0.23725723987532926)","(0.09659265851223699, 0.23725723987532932)","(0.09159546376920463, 0.2372572398753293)","(0.0835574242900355, 0.2372572398753293)","(0.21210588741688263, 0.22972094279610777)","(0.19649061405281798, 0.22972094279610777)","(0.17214902959582462, 0.22972094279610777)","(0.136941890980391, 0.22972094279610777)","(0.11973508517476975, 0.22972094279610777)","(0.10282903441201656, 0.22972094279610777)","(0.08446404654466043, 0.22972094279610777)","(0.07818935306072795, 0.22972094279610777)","(0.07046426287851315, 0.22972094279610777)","(0.06486443341341423, 0.2297209427961078)","(0.05594362511945409, 0.22972094279610777)","(0.048516260890556814, 0.22972094279610777)","(0.04330525697613371, 0.22972094279610777)","(0.03723084052008689, 0.22972094279610777)","(0.03290939305341639, 0.22972094279610777)","(0.028760042406032825, 0.22972094279610777)","(0.025427430711491734, 0.22972094279610777)"
2004,"(0.2140659700420461, 0.3072848516366209)","(0.1685223465483578, 0.3072848516366209)","(0.19670565794794126, 0.3072848516366209)","(0.16731821297205388, 0.3072848516366209)","(0.1401931964842931, 0.3072848516366209)","(0.19937660465568544, 0.3072848516366209)","(0.15841184583735785, 0.3072848516366209)","(0.189624700618258, 0.31499534868743917)","(0.11713923959020377, 0.31499534868743917)","(0.18753931684866781, 0.31587312247724697)","(0.2616476032663237, 0.31470244643545076)","(0.24124376900860142, 0.31470244643545076)","(0.2358976589290414, 0.31470244643545076)","(0.2319781727504583, 0.31470244643545076)","(0.1657240851492592, 0.31470244643545076)","(0.16153365130116493, 0.3147024464354507)","(0.15836255400435797, 0.31470244643545076)","(0.1536582254067131, 0.31470244643545076)","(0.15057945300762116, 0.3147024464354507)","(0.14899002952269458, 0.31470244643545076)","(0.13956987797453582, 0.31470244643545076)","(0.1339643355854822, 0.31470244643545076)","(0.1282736669149607, 0.31470244643545076)","(0.11673742383143673, 0.31470244643545076)","(0.09958719483267904, 0.3147024464354507)","(0.09299798935513293, 0.31470244643545076)","(0.07638425549374447, 0.31470244643545076)","(0.22420412299748854, 0.30770103803232124)","(0.21663644486326886, 0.3077010380323213)","(0.19577363720429666, 0.3077010380323213)","(0.14579774766604278, 0.3077010380323213)","(0.14399974141845995, 0.3077010380323213)","(0.14093828550047854, 0.3077010380323213)","(0.138233779841474, 0.3077010380323213)","(0.12602459347331732, 0.3077010380323213)","(0.11980236279902054, 0.3077010380323213)","(0.11274721062064888, 0.30770103803232124)","(0.09264022256327938, 0.3077010380323213)","(0.08637607516910614, 0.3077010380323213)","(0.07660726560417867, 0.3077010380323213)","(0.06909424756491704, 0.30770103803232124)","(0.06112869444819222, 0.3077010380323213)","(0.05428554574357643, 0.3077010380323213)","(0.0468363056402219, 0.3077010380323213)"
2005,"(0.14980393740916398, 0.18073982215088713)","(0.1260823104900356, 0.18073982215088713)","(0.14214643627065426, 0.18073982215088713)","(0.12443532504492869, 0.18073982215088713)","(0.10969787605939098, 0.18073982215088713)","(0.1423742560165552, 0.18073982215088713)","(0.12645449429837916, 0.18073982215088713)","(0.13858439721831037, 0.18487277939132218)","(0.10216582028541986, 0.18487277939132218)","(0.13833332459803832, 0.18394303718979715)","(0.16170404991844436, 0.18272860775880312)","(0.15200465288833398, 0.18272860775880312)","(0.14427033590328672, 0.18272860775880312)","(0.1410342027290131, 0.18272860775880315)","(0.1390772844812021, 0.18272860775880312)","(0.13251975054038212, 0.18272860775880312)","(0.13042254300398587, 0.18272860775880312)","(0.12810372464158729, 0.18272860775880312)","(0.12636158150688814, 0.18272860775880312)","(0.12418537561770336, 0.18272860775880312)","(0.11804626295998105, 0.18272860775880312)","(0.11518145862152203, 0.18272860775880312)","(0.11011004157512534, 0.18272860775880312)","(0.10403163736617801, 0.18272860775880312)","(0.10066385245579854, 0.18272860775880312)","(0.0974295951521934, 0.18272860775880312)","(0.09092514544834165, 0.18272860775880315)","(0.171611768609684, 0.1810264974924024)","(0.16126709662558744, 0.1810264974924024)","(0.15002685681092273, 0.1810264974924024)","(0.12689075943164693, 0.1810264974924024)","(0.10332396889788549, 0.18102649749240243)","(0.09091102044790646, 0.1810264974924024)","(0.07832291151232594, 0.1810264974924024)","(0.07197441634010901, 0.1810264974924024)","(0.0652354431304292, 0.1810264974924024)","(0.06012341319950922, 0.1810264974924024)","(0.054144701303782905, 0.18102649749240243)","(0.04796545749293788, 0.1810264974924024)","(0.0432673044989246, 0.18102649749240243)","(0.037347971889535425, 0.1810264974924024)","(0.03328153226395319, 0.1810264974924024)","(0.0283679101934495, 0.1810264974924024)","(0.026212099182575305, 0.18102649749240243)"
2006,"(0.15671211959813142, 0.2015919073259671)","(0.13080821181855648, 0.20159190732596713)","(0.1460597500891429, 0.20159190732596713)","(0.12910958190128682, 0.20159190732596713)","(0.11136479714615771, 0.20159190732596713)","(0.14726523645810324, 0.20159190732596713)","(0.1297006631348973, 0.20159190732596713)","(0.14153413259645775, 0.20735934644250562)","(0.10214844371977762, 0.20735934644250562)","(0.1467383605026567, 0.20583523089068498)","(0.18541242178491757, 0.20470211070402672)","(0.16467198266568023, 0.20470211070402672)","(0.15994312471033342, 0.20470211070402675)","(0.1551196273307949, 0.20470211070402677)","(0.14002045143997083, 0.20470211070402672)","(0.1377464341547258, 0.20470211070402677)","(0.13196398138623375, 0.20470211070402675)","(0.13062081749923554, 0.20470211070402675)","(0.12830545951397673, 0.20470211070402672)","(0.12620203418005657, 0.20470211070402672)","(0.11880829173789285, 0.20470211070402672)","(0.11571799549451152, 0.20470211070402675)","(0.10895433157463844, 0.20470211070402672)","(0.10472718692442752, 0.20470211070402672)","(0.10208652648693797, 0.20470211070402677)","(0.09709172817931327, 0.20470211070402672)","(0.0920789733150177, 0.20470211070402677)","(0.18831416298596002, 0.20251651150260502)","(0.16975444672137618, 0.20251651150260502)","(0.1525588298346931, 0.20251651150260505)","(0.10916896961609021, 0.20251651150260505)","(0.10468172021831935, 0.20251651150260505)","(0.08469665980159446, 0.20251651150260505)","(0.07384188279762154, 0.20251651150260502)","(0.0656608905136638, 0.20251651150260502)","(0.05946386936865986, 0.20251651150260505)","(0.05517251162616777, 0.20251651150260502)","(0.0465956022355982, 0.20251651150260505)","(0.04104553048687964, 0.20251651150260502)","(0.03691603657420207, 0.20251651150260505)","(0.03223293604415363, 0.20251651150260502)","(0.027912012744631683, 0.20251651150260505)","(0.02436906270552708, 0.20251651150260505)","(0.02172668693218982, 0.20251651150260505)"
2007,"(0.41019079247955703, 0.49976285971772266)","(0.2786369521713305, 0.49976285971772266)","(0.3845313798785569, 0.49976285971772266)","(0.3026487175443517, 0.49976285971772266)","(0.24714460983694925, 0.49976285971772266)","(0.32815735971317117, 0.49976285971772266)","(0.29857545167395, 0.49976285971772266)","(0.25600597439746614, 0.3537514312643519)","(0.1474244974418825, 0.3537514312643519)","(0.3051430992094924, 0.5097293069816932)","(0.366831178821825, 0.5104560757390432)","(0.3159463551482857, 0.5104560757390432)","(0.2919151622692762, 0.5104560757390432)","(0.26814773751460025, 0.5104560757390432)","(0.2666633951359204, 0.5104560757390432)","(0.2540170714862912, 0.5104560757390433)","(0.24833178320402347, 0.5104560757390432)","(0.22766652025978742, 0.5104560757390432)","(0.2403495140212171, 0.5104560757390433)","(0.2400003669457461, 0.5104560757390432)","(0.2210778514614257, 0.5104560757390432)","(0.21502931971166328, 0.5104560757390432)","(0.20671423953409052, 0.5104560757390432)","(0.1954231178911428, 0.5104560757390432)","(0.19657351829748948, 0.5104560757390432)","(0.18918563436331642, 0.5104560757390432)","(0.18131399716079802, 0.5104560757390432)","(0.32209662744899636, 0.5010717105310218)","(0.12270156237249058, 0.5010717105310218)","(0.09778150546111745, 0.5010717105310218)","(0.0935553870820861, 0.5010717105310218)","(0.08464311187965899, 0.5010717105310218)","(0.07720228942716639, 0.5010717105310218)","(0.0751260690452152, 0.5010717105310218)","(0.04936683398072118, 0.5010717105310218)","(0.047043973846397004, 0.5010717105310218)","(0.024452401713274084, 0.5010717105310218)","(0.020811229064369635, 0.5010717105310218)","(0.01674571366627854, 0.5010717105310218)","(0.014634783966680715, 0.5010717105310218)","(0.012874857243706433, 0.5010717105310218)","(0.011623339621781583, 0.5010717105310218)","(0.009885889651079425, 0.5010717105310218)","(0.008960132805113145, 0.5010717105310218)"
2008,"(0.5137576529344476, 0.630497773204568)","(0.34239733163232966, 0.6304977732045679)","(0.4711435861928693, 0.6304977732045679)","(0.35528697064355874, 0.630497773204568)","(0.30300795782535467, 0.6304977732045679)","(0.45808551795635577, 0.630497773204568)","(0.33250285581217226, 0.630497773204568)","(0.4027386873934838, 0.5926151360215061)","(0.17799892777004997, 0.5926151360215062)","(0.38828329193205185, 0.6098442582075999)","(0.37896289788674387, 0.611649060385198)","(0.34107846007624343, 0.6116490603851978)","(0.32051831098683037, 0.611649060385198)","(0.27968844245486557, 0.611649060385198)","(0.26613285422193045, 0.6116490603851978)","(0.25709093103475184, 0.611649060385198)","(0.24855042776736222, 0.6116490603851978)","(0.24457439702831127, 0.6116490603851981)","(0.24551943094741577, 0.611649060385198)","(0.2420683318531431, 0.611649060385198)","(0.20494820882143572, 0.611649060385198)","(0.19273726869836197, 0.611649060385198)","(0.19041513454638967, 0.6116490603851978)","(0.1836435103491451, 0.611649060385198)","(0.17579490005039045, 0.611649060385198)","(0.17367709946314505, 0.6116490603851981)","(0.17140501919055762, 0.6116490603851981)","(0.20619736333634386, 0.6313213624199912)","(0.15733620876791332, 0.6313213624199913)","(0.1356840551692314, 0.6313213624199912)","(0.10463865275552958, 0.6313213624199913)","(0.07002334809062727, 0.6313213624199912)","(0.06372570738135962, 0.6313213624199912)","(0.054907937767212533, 0.6313213624199913)","(0.049218012521881536, 0.6313213624199913)","(0.044400174331883695, 0.6313213624199912)","(0.04188090581034368, 0.6313213624199912)","(0.03394799534846848, 0.6313213624199912)","(0.030548163603372133, 0.6313213624199912)","(0.026752071420443082, 0.6313213624199912)","(0.02277070197190447, 0.6313213624199913)","(0.019620086225882637, 0.6313213624199912)","(0.017734114678781988, 0.6313213624199912)","(0.01568270093568535, 0.6313213624199913)"
2009,"(0.23003341473393155, 0.28560554732691357)","(0.1898176722471, 0.28560554732691357)","(0.21311229508027052, 0.28560554732691357)","(0.18921377724628788, 0.28560554732691357)","(0.16318055545107985, 0.28560554732691357)","(0.21479744925570002, 0.28560554732691357)","(0.18442187942894908, 0.28560554732691357)","(0.2086337665911732, 0.2898641352764845)","(0.14660479413676789, 0.28986413527648447)","(0.20268701133007122, 0.28878052208291793)","(0.2197817747379646, 0.28836396192996605)","(0.20788094327713022, 0.28836396192996605)","(0.20075222833900067, 0.288363961929966)","(0.19624669747467582, 0.288363961929966)","(0.19319285982630832, 0.28836396192996605)","(0.18716112617609465, 0.28836396192996605)","(0.1838966813654997, 0.288363961929966)","(0.1812635176879124, 0.28836396192996605)","(0.17855707744196422, 0.288363961929966)","(0.1580771821472034, 0.288363961929966)","(0.15482654608287388, 0.28836396192996605)","(0.15208043279019917, 0.28836396192996605)","(0.1484983542745739, 0.288363961929966)","(0.13857559174849757, 0.28836396192996605)","(0.1271002806236987, 0.288363961929966)","(0.12444790411312713, 0.28836396192996605)","(0.11322192476616749, 0.28836396192996605)","(0.1976237515928761, 0.29015463328919827)","(0.09997352639601448, 0.29015463328919827)","(0.08486179191350884, 0.29015463328919827)","(0.06890212212527291, 0.2901546332891983)","(0.05956320230296479, 0.29015463328919827)","(0.053805645109481076, 0.29015463328919827)","(0.03433747104536386, 0.29015463328919827)","(0.030620222336283805, 0.29015463328919827)","(0.028166033558154197, 0.29015463328919827)","(0.026176037225419703, 0.29015463328919827)","(0.0219198876927529, 0.2901546332891983)","(0.019228706775183346, 0.29015463328919827)","(0.016394883312084108, 0.29015463328919827)","(0.014689729047413308, 0.29015463328919827)","(0.013081470419591047, 0.2901546332891983)","(0.011855975938360182, 0.29015463328919827)","(0.010701701705177473, 0.29015463328919827)"
