,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240
sic_1,1.0,0.38567982155702485,0.6944653076325769,0.3492796219667308,0.18547376973330443,0.30092862687453115,0.2734369065236085,0.3777693039374542,0.14764240231805997,0.26302397591140864,0.10472824180114765,0.1022127503744159,0.08911600663483667,0.07419608743799617,0.07623654673909096,0.07263653443998817,0.070830979381379,0.0685391707672732,0.06670019571748753,0.06664229386484695,0.06493893755203595,0.06487415833470123,0.0628120850556234,0.05941469148107373,0.05825739747018103,0.05666129862277044,0.056519123214038305,0.06606666944713087,0.05581984863342344,0.04896984148650383,0.0451620759915344,0.028588381352870666,0.02747891220107814,0.025290289835370662,0.023249469570402168,0.018127333047315446,0.017142215913157018,0.014470876134063556,0.012711575167422056,0.012134324472283983,0.010502727395879801,0.008491339813482377,0.006396259391126862,0.005506624270318609
sic_2,0.38567982155702485,1.0,0.4559105403365786,0.6700509693187884,0.5882981889289214,0.3060418816572072,0.45830683461424654,0.2759031270819461,0.40192435400349796,0.33085974850154753,0.11302828689494235,0.1443989171243569,0.146148779642797,0.14976029757168027,0.166487123063777,0.1657435379623949,0.1717250095295894,0.17312369409195372,0.1763965901149857,0.17877478304400782,0.17968168298907639,0.17544999876467238,0.1757107425872675,0.175681606025476,0.17602009447821823,0.173990030002895,0.17711582342210339,0.072054456498152,0.07732676174142909,0.06893085882923988,0.06963958840051865,0.04576952415464081,0.043313318846514924,0.04258233799878629,0.04046789679382855,0.03320687093496796,0.034550661085863875,0.031627570121185763,0.027650539204103722,0.026577557925365113,0.02476524257103538,0.018269110548052355,0.013441218414141844,0.011578592172845457
naics_2,0.6944653076325769,0.4559105403365786,1.0,0.5172021016111199,0.2837117596252784,0.3663374546981328,0.35892699271536455,0.3335018272849964,0.18595145432299118,0.325031799590544,0.11962736119418549,0.13320052983433162,0.11822311998697828,0.10001045916218881,0.10299125397568401,0.10026362678591359,0.09805495265564092,0.09707342666233011,0.09533678139724025,0.0969611864208636,0.09387822960811804,0.09424979667306908,0.09211537702820279,0.08818803247295567,0.08629603821602867,0.08406960843268899,0.0853610941784059,0.07325273533005768,0.06616733192210547,0.06140643784363399,0.05771490949733248,0.03422068861381383,0.03204484884408502,0.030270561760416006,0.028833238199730642,0.022648739238868724,0.021967495834526164,0.017969338930505934,0.016104492177991998,0.01563851774371209,0.013136528894030343,0.010152484721759674,0.007770683867421007,0.006589406237646841
naics_3,0.3492796219667308,0.6700509693187884,0.5172021016111199,1.0,0.6430780229041829,0.28658627477632154,0.4174257351616097,0.2606772789301439,0.36156289486461524,0.30805545691296526,0.11189198550650765,0.14371227454806043,0.15721981773850147,0.16066680175913076,0.17162487814128802,0.17374229483428627,0.17861819634989015,0.1801272627669593,0.1811717623475419,0.18473013325029547,0.18623940184620988,0.187878903648923,0.18886861121998846,0.18695751136478905,0.18851242563034942,0.18452853756709803,0.18812515747814743,0.0706571338189553,0.07809621852411143,0.07836522615748778,0.07562205004218313,0.04756524795093714,0.045352303517976825,0.04212397891843287,0.03987240851120254,0.03380970646514733,0.035264655791381785,0.03132172659726511,0.027327188232494474,0.026276234801381176,0.02442764037806671,0.019359924002405486,0.014113360341409987,0.011354024177801328
naics_4,0.18547376973330443,0.5882981889289214,0.2837117596252784,0.6430780229041829,1.0,0.23284357585704654,0.3982194801489086,0.1997168955830876,0.4910494933134646,0.2810024202012575,0.10614487262909779,0.1518019706357585,0.1696629640776481,0.1875277703933223,0.21854418828310768,0.2225009448422059,0.2348216058908374,0.23937351704870088,0.24946965910613392,0.25824130148169333,0.26287429900508863,0.26634010446550727,0.2717674048853267,0.27582632433274634,0.27958345937249707,0.2797108605069895,0.28806596253249456,0.058106774655197264,0.07290371276386709,0.07197148002967213,0.07541799974173913,0.054321802631493776,0.05185034260338786,0.05225756624967857,0.05076505175011201,0.043400837457474924,0.04594128391856992,0.04219480641936654,0.04121940574136142,0.0392240810454131,0.03805586833973954,0.02846509008212969,0.02078951902502122,0.019118241866881505
gsector,0.30092862687453115,0.3060418816572072,0.3663374546981328,0.28658627477632154,0.23284357585704654,1.0,0.6151353329714866,0.5978694582963472,0.1903276812887693,0.4160142433816426,0.16812245149156518,0.1848791369620261,0.15028155140362232,0.1255379369117874,0.12337658019442954,0.11779362446919253,0.1138195592927601,0.11060595244403656,0.10649766688806642,0.10722533465821556,0.10558491420143812,0.10228088685288127,0.09967937705791731,0.09532771595378843,0.09425332940696403,0.09185741487230768,0.09037632486458849,0.06910377144571661,0.05856442952712641,0.05109872093225052,0.04650797956384026,0.03194096766597067,0.027580758465380356,0.024896450903387223,0.02477724717774791,0.018567897426933593,0.01720668202820026,0.014960201955061146,0.013294831556857564,0.012225854899846378,0.010986366391562141,0.008312870847473793,0.006234224584736209,0.006414982620635234
ggroup,0.2734369065236085,0.45830683461424654,0.35892699271536455,0.4174257351616097,0.3982194801489086,0.6151353329714866,1.0,0.4007699952986371,0.3535157155532631,0.383617001834025,0.1411272547159809,0.1874533795299652,0.17176373107496112,0.17857474504854265,0.18244880555537984,0.18276127578021484,0.1863578958247655,0.18424910132801794,0.1847184899431845,0.1877824427496699,0.185953809220269,0.18091764689678738,0.18038150653625992,0.17742207496287565,0.175557031950629,0.1718268512891306,0.17111659361824155,0.06412676697649536,0.0643175913670141,0.06038236997059939,0.05554975054721876,0.04205008418710807,0.03893095174350759,0.03539565049321651,0.035332531463515206,0.029943366214159252,0.02770328696099933,0.024499532005368516,0.02438456234162549,0.023324575715957495,0.020945799894983883,0.015641941585338846,0.011885698243456843,0.011732577815296873
spcseccd,0.3777693039374542,0.2759031270819461,0.3335018272849964,0.2606772789301439,0.1997168955830876,0.5978694582963472,0.4007699952986371,1.0,0.23332905605326107,0.3745221644908015,0.16792096455041738,0.17635553305128907,0.15141876803179055,0.12132233950476505,0.11762888102252554,0.11324180947762479,0.10950857514822328,0.10745604938650573,0.10125958438018533,0.10105666460265003,0.10233314431144842,0.09998957313764774,0.09762627907584262,0.09285990206949925,0.09174999947844363,0.08884714311400331,0.08803123652733656,0.0779531953044152,0.06466222481732467,0.055178681910821724,0.047423641035383546,0.03249690960161595,0.029274883580496753,0.02670145924750101,0.024946420180799136,0.018189587558092805,0.018338909526630608,0.015401224052652492,0.013345963425188333,0.012986661692431619,0.01137684278321274,0.00864156154192294,0.006455462514171323,0.006010742324215643
spcindcd,0.14764240231805997,0.40192435400349796,0.18595145432299118,0.36156289486461524,0.4910494933134646,0.1903276812887693,0.3535157155532631,0.23332905605326107,1.0,0.23612623760489637,0.0979185857755475,0.13454327943512176,0.1626663592601958,0.18150676991510928,0.21793050046685802,0.22359919361516684,0.23770262844030735,0.2401723078220773,0.25188822586216125,0.26045429107664353,0.26506017849880364,0.2650355658242647,0.2694552397178755,0.2833189201857686,0.28341032882919137,0.28595596370439347,0.2936834298793954,0.04847012658649341,0.05374855756115962,0.04815204827504183,0.045588568503021266,0.038232235185196195,0.037165846481794926,0.036047038744762,0.03447476314175244,0.03200481645687051,0.03593752651731746,0.028655871214737876,0.02841669181230861,0.027476667401914186,0.02467026754679058,0.0218537047127703,0.016769067106068,0.014702416816228735
hp,0.26302397591140864,0.33085974850154753,0.325031799590544,0.30805545691296526,0.2810024202012575,0.4160142433816426,0.383617001834025,0.3745221644908015,0.23612623760489637,1.0,0.12232252276983133,0.1653213442467572,0.15553811691196134,0.13714774215849623,0.143628712463581,0.142069743415205,0.1372343571048107,0.13604030239871462,0.13040921603325675,0.13137215694256227,0.13392481053682845,0.1353132037816946,0.1317993560484287,0.12597146035222512,0.12643326027873014,0.12507487107326265,0.12372772551702989,0.07460891150534574,0.06688861549540015,0.05957784954810693,0.05905777235768725,0.04197111754472113,0.036881367427000704,0.03580527156042516,0.03377106025201983,0.025880935080931894,0.023376684592947398,0.020100808559921312,0.017772313730559708,0.01813798220809553,0.017418259866284834,0.013118638512711668,0.00971609116370016,0.008734164039653077
sp_10,0.10472824180114765,0.11302828689494235,0.11962736119418549,0.11189198550650765,0.10614487262909779,0.16812245149156518,0.1411272547159809,0.16792096455041738,0.0979185857755475,0.12232252276983133,1.0,0.49568764210928007,0.3758558140394551,0.3112455762277291,0.26868828122716637,0.23717640280134197,0.22182233997229692,0.21124531163663154,0.18733508344451705,0.1806432364343956,0.17410065901676258,0.17290856359264611,0.16659671036450846,0.1477645153043131,0.14525718273738505,0.13956859554292322,0.12860435247622148,0.05235508960046383,0.04123175563401018,0.0373946948107113,0.033502300136903966,0.024276022173831412,0.019865539166239267,0.01942078913957655,0.018835935077023414,0.014072160322561414,0.012940080431196098,0.0116046671267352,0.00976693234251789,0.009632761128589627,0.008273201391943905,0.007294889429272565,0.005527120760600796,0.0048453672853594155
sp_20,0.1022127503744159,0.1443989171243569,0.13320052983433162,0.14371227454806043,0.1518019706357585,0.1848791369620261,0.1874533795299652,0.17635553305128907,0.13454327943512176,0.1653213442467572,0.49568764210928007,1.0,0.7175973326508197,0.5157090128975923,0.4677900313412921,0.4627486144433052,0.41145049963910046,0.40978228876412626,0.369133541654217,0.34531862814906966,0.34118084483549344,0.33479014098709386,0.32250195765024814,0.2923369302707858,0.2842418808346413,0.2744551669595498,0.25721622219308976,0.04962733187656609,0.043532135345140166,0.046625448346484036,0.04712621676750141,0.034578838463967775,0.03229314844299076,0.03086200430433921,0.027632508850164716,0.02168329932450327,0.021625080751619803,0.019123025185199243,0.017222150158710575,0.016922916451582577,0.01525025867013969,0.012661538138665404,0.008943802580915707,0.008099312007071393
