,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,13,1,10,17,25,46,36,16,6,33,98,78,40,39,159,170,134,142,0,7,18,23,12,3,16,71,46,76,113,92,108,118,130,187,60,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,9,5,25,11,3,1,6,10,88,4,26,25,13,10,180,160,140,2,2,28,2,49,40,26,15,3,88,50,29,140,114,91,114,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,7,18,3,29,45,16,58,36,71,64,76,105,87,61,191,171,151,4,8,14,27,47,38,24,13,1,99,76,127,106,80,57,42,21,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,9,9,17,0,26,6,45,7,45,99,45,83,81,77,31,39,30,3,16,9,9,30,14,48,77,65,54,31,10,50,61,46,48,27,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,8,6,19,37,20,43,0,69,60,72,84,62,138,179,2,3,54,4,11,26,4,20,52,50,60,29,0,58,46,28,31,10,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,3,7,18,21,42,27,22,12,48,36,110,88,68,48,179,186,166,6,5,15,8,41,32,46,7,12,89,13,88,112,22,170,155,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,4,8,16,27,17,7,17,57,22,51,96,47,128,108,70,50,30,229,7,9,11,38,27,18,4,51,39,5,19,35,16,77,56,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,25,5,4,11,32,1,22,9,9,6,83,109,127,118,23,23,40,92,3,16,9,9,3,37,68,57,45,48,25,4,123,154,131,116,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
ACS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,25,5,4,11,32,1,22,9,2,6,2,15,2,10,6,48,28,8,2,6,17,7,43,34,10,29,75,64,41,20,8,123,168,153,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,4,11,24,24,14,4,67,17,77,80,60,38,18,83,64,196,176,1,12,2,26,15,46,32,21,9,97,85,125,104,157,134,119,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,4,11,14,28,44,34,24,14,2,11,85,124,97,144,124,104,84,1,12,2,26,15,59,17,6,76,65,42,75,54,136,113,188,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,7,2,6,19,37,23,44,30,20,8,14,34,15,48,142,121,190,233,0,4,24,21,10,1,5,10,69,58,95,134,113,87,64,49,28,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,15,5,7,18,24,14,4,67,17,77,80,60,38,18,83,64,196,176,5,3,29,39,28,58,44,33,34,23,0,138,56,91,68,53,32,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,3,5,4,11,33,11,55,46,1,89,67,86,81,158,138,118,187,167,3,14,6,14,26,51,52,40,83,72,49,28,7,41,18,3,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,4,11,14,20,47,58,50,35,23,15,83,61,41,21,1,115,98,7,8,22,27,47,38,24,56,44,33,10,114,143,117,94,79,58,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
