,tic,cluster_label
0,RTX,18
1,TFX,11
2,BA,9
3,HON,11
4,TXT,18
5,ADSK,2
6,CA,2
7,NOVL,2
8,MSFT,2
9,ORCL,2
10,BMC,2
11,MFE,2
12,CTXS,2
13,VRSN,2
14,DNB,25
15,ADBE,2
16,NLOK,2
17,ANSS,2
18,DOV,15
19,ADI,13
20,PNW,5
21,AYE,5
22,AEP,5
23,GAS,5
24,CEG,5
25,ED,5
26,CMS,5
27,DTV,5
28,D,5
29,DUK,5
30,EP,5
31,ATO,5
32,EQT,5
33,NEE,5
34,CNP,5
35,KMI,5
36,EVRG,5
37,KSE,5
38,ETR,5
39,ES,5
40,NI,5
41,XEL,5
42,FE,5
43,OKE,5
44,PCG,5
45,SRE,5
46,PPL,5
47,EXC,5
48,POM,5
49,PEG,5
50,STR,5
51,SCG,5
52,EIX,5
53,SO,5
54,TE,5
55,TXU,5
56,AEE,5
57,WEC,5
58,LNT,5
59,TEG,5
60,AES,5
61,CTAS,6
62,VFC,22
63,EA,3
64,TTWO,3
65,INTU,2
66,AMD,13
67,MU,13
68,TXN,13
69,MXIM,13
70,XLNX,13
71,MCHP,13
72,SNDK,13
73,TER,19
74,LLTC,13
75,CDNS,13
76,SNPS,13
77,AMAT,13
78,KLAC,13
79,LRCX,13
80,VZ,8
81,T,8
82,S,8
83,LVLT,8
84,LLL,8
85,WMB,5
86,PWR,8
87,BK,4
88,CBSS,4
89,RF,4
90,FHN,4
91,HBAN,4
92,NTRS,4
93,WFC,4
94,KEY,4
95,STT,4
96,NAVI,4
97,TFC,4
98,SNV,4
99,SIVB,4
100,SOV,4
101,COF,4
102,TIN,4
103,MTB,4
104,CMA,4
105,PNC,4
106,JBHT,9
107,ODFL,9
108,CHRW,9
109,AAL,9
110,ALK,9
111,DAL,9
112,FDX,9
113,LUV,9
114,UAL,9
115,AMGN,10
116,GENZ,10
117,CELG,10
118,REGN,10
119,CEPH,10
120,MEDI,10
121,VRTX,10
122,BIIB,10
123,GILD,10
124,INCY,10
125,NKTR,10
126,ALXN,10
127,KR,6
128,SVU,6
129,WFM,6
130,COST,6
131,PETM,6
132,FRT,26
133,VNO,26
134,DRE,26
135,KIM,26
136,REG,26
137,MAA,26
138,PLD,26
139,SLG,26
140,PSA,26
141,UDR,26
142,EQR,26
143,AVB,26
144,ESS,26
145,AIV,26
146,LSI,26
147,ARE,26
148,BXP,26
149,TLAB,8
150,CIEN,2
151,QRVO,13
152,MSI,13
153,SLR,13
154,SANM,13
155,JBL,13
156,WMT,6
157,TJX,6
158,KSS,6
159,BBBY,6
160,MTW,11
161,FDO,6
162,JWN,6
163,FAST,6
164,NOC,6
165,WM,5
166,AW,5
167,SRCL,5
168,RSG,5
169,CVG,25
170,THC,14
171,UHS,14
172,LH,14
173,HCA,14
174,ESRX,14
175,DVA,14
176,DGX,14
177,EVHC,14
178,ITT,11
179,LHX,13
180,SWKS,19
181,ECL,7
182,DG,6
183,ROST,6
184,BIG,6
185,DLTR,6
186,SHW,18
187,RHI,25
188,PAYX,25
189,APA,5
190,HP,5
191,RRC,5
192,NBL,5
193,SWN,5
194,ANDV,5
195,PXD,5
196,DVN,5
197,EOG,5
198,COG,5
199,NFX,5
200,APC,17
201,CVX,5
202,MUR,5
203,COP,5
204,AE,5
205,ADM,7
206,ETN,18
207,F,18
208,TT,18
209,CMI,18
210,GT,15
211,BWA,18
212,MAS,15
213,MKC,21
214,BAX,15
215,BDX,15
216,BIO,15
217,BC,15
218,OMC,15
219,GE,15
220,IPG,15
221,MOLX,15
222,ROK,15
223,SIAL,15
224,WHR,15
225,NKE,22
226,OI,15
227,TIF,22
228,EXPD,9
229,KHC,7
230,SNA,15
231,SEE,11
232,BMS,15
233,WRK,11
234,XRX,2
235,ZBRA,2
236,PBI,15
237,NEM,17
238,FCX,17
239,FMC,17
240,ADP,2
241,AVP,20
242,EL,20
243,OMX,7
244,IP,15
245,MWV,21
246,RRD,3
247,SPGI,3
248,LEG,11
249,DRI,6
250,YUM,6
251,MCD,7
