,dist,conm,busdesc
CNX,0.0,CNX RESOURCES CORPORATION,"CNX Resources Corporation, an independent oil and gas company, explores for, develops, and produces natural gas properties primarily in the Appalachian Basin. The company operates through two divisions, Exploration and Production (E&P), and Midstream."
MEE,0.223,MASSEY ENERGY CO,"Alpha Appalachia Holdings, Inc., through its subsidiaries, operates coal mines and processing facilities primarily in the United States."
NFX,0.348,NEWFIELD EXPLORATION CO,"Ovintiv Exploration Inc. engages in the exploration, development, and production of crude oil, natural gas, and natural gas liquids in the United States. Ovintiv Exploration Inc. was formerly known as Newfield Exploration Company and changed its name to Ovintiv Exploration Inc. in 2020."
FCX,0.3683,FREEPORT-MCMORAN INC,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. The company primarily explores for copper, gold, molybdenum, silver, and other metals, as well as oil and gas."
RDC,0.3896,ROWAN COMPANIES LTD,"Rowan Companies Limited provides offshore contract drilling services to the oil and gas industry. It operates through three segments: Deepwater, Jack-ups, and ARO. The Deepwater segment operates 4 ultra-deepwater drillships. The Jack-ups segment operates 15 self-elevating jack-up rigs."
CLF,0.3939,CLEVELAND-CLIFFS INC,"Cleveland-Cliffs Inc. operates as an independent iron ore mining company in the United States, Canada, and internationally. It operates in two segments, Mining and Pelletizing, and Metallics."
MUR,0.3959,MURPHY OIL CORP,"Murphy Oil Corporation operates as an oil and natural gas exploration and production company in the United States, Canada, and internationally. It explores for and produces crude oil, natural gas, and natural gas liquids."
PXD,0.3967,PIONEER NATURAL RESOURCES CO,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations primarily in the Permian Basin in West Texas."
APC,0.4025,ANADARKO PETROLEUM CORP,"Anadarko Petroleum Corporation engages in the exploration, development, production, and marketing of oil and gas properties. It operates through three segments: Exploration and Production, WES Midstream, and Other Midstream."
NBR,0.4057,NABORS INDUSTRIES LTD,"Nabors Industries Ltd. provides drilling and drilling-related services for land-based and offshore oil and natural gas wells. It operates through five segments: U.S. Drilling, Canada Drilling, International Drilling, Drilling Solutions, and Rig Technologies."
JOY,0.4119,JOY GLOBAL INC,"Komatsu Mining Corp. manufactures and services mining equipment for the extraction of coal, copper, iron ore, oil sands, gold, and other minerals worldwide. It operates in two segments, Underground Mining Machinery and Surface Mining Equipment."
COG,0.4211,CABOT OIL & GAS CORP,"Cabot Oil & Gas Corporation, an independent oil and gas company, explores for, exploits, develops, produces, and markets oil and gas properties in the United States."
RRC,0.4297,RANGE RESOURCES CORP,"Range Resources Corporation operates as an independent natural gas, natural gas liquids (NGLs), and oil company in the United States. The company engages in the exploration, development, and acquisition of natural gas and oil properties."
X,0.4409,UNITED STATES STEEL CORP,"United States Steel Corporation produces and sells flat-rolled and tubular steel products primarily in North America and Europe. It operates through three segments: North American Flat-Rolled (Flat-Rolled), U. S. Steel Europe (USSE), and Tubular Products (Tubular)."
