,dist,conm,busdesc
BSX,0.0,BOSTON SCIENTIFIC CORP,"Boston Scientific Corporation develops, manufactures, and markets medical devices for use in various interventional medical specialties worldwide. It operates through three segments: MedSurg, Rhythm and Neuro, and Cardiovascular."
ATI,0.0009,ALLEGHENY TECHNOLOGIES INC,"Allegheny Technologies Incorporated manufactures and sells specialty materials and components worldwide. The company operates in two segments, High Performance Materials & Components and Advanced Alloys & Solutions."
DOV,0.0038,DOVER CORP,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide."
PG,0.0063,PROCTER & GAMBLE CO,"The Procter & Gamble Company provides branded consumer packaged goods to consumers in North and Latin America, Europe, the Asia Pacific, Greater China, India, the Middle East, and Africa."
FIS,0.0067,FIDELITY NATIONAL INFO SVCS,"Fidelity National Information Services, Inc. operates as a financial services technology company in the United States and internationally. It operates through three segments: Merchant Solutions, Banking Solutions, and Capital Market Solutions."
HST,0.0068,HOST HOTELS & RESORTS INC,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels."
COV,0.0068,COVIDIEN PLC,"As of January 26, 2015, Covidien plc was acquired by Medtronic plc. Covidien plc develops, manufactures, and sells healthcare products for use in clinical and home settings worldwide. The company operates through Medical Devices and U.S. Medical Supplies segments."
LM,0.0068,LEGG MASON INC,"Legg Mason, Inc. is a publicly owned asset management holding company."
CHD,0.0075,CHURCH & DWIGHT INC,"Church & Dwight Co., Inc. develops, manufactures, and markets household, personal care, and specialty products in the United States and internationally. It operates in three segments: Consumer Domestic, Consumer International, and Specialty Products Division."
CEPH,0.0091,CEPHALON INC,"Cephalon, Inc. engages in the discovery and development of medicines for central nervous system disorders, pain, and cancer."
PNR,0.011,PENTAIR PLC,"Pentair plc provides various smart water solutions worldwide. It operates through three segments: Aquatic Systems, Filtration Solutions, and Flow Technologies."
PETM,0.0119,PETSMART INC,"PetSmart, Inc., together with its subsidiaries, operates as a specialty retailer of products, services, and solutions for pets in the United States, Puerto Rico, and Canada."
BMS,0.0122,BEMIS CO INC,"Bemis Company, Inc. manufactures and sells packaging products in the United States, Brazil, other Americas, Europe, and the Asia-Pacific. It operates through three segments: U.S. Packaging, Latin America Packaging, and Rest of World Packaging."
ITW,0.0131,ILLINOIS TOOL WORKS,Illinois Tool Works Inc. manufactures and sells industrial products and equipment worldwide. It operates through seven segments: Automotive OEM; Food Equipment; Test & Measurement and Electronics; Welding; Polymers & Fluids; Construction Products; and Specialty Products.
MHK,0.0132,MOHAWK INDUSTRIES INC,"Mohawk Industries, Inc. designs, manufactures, sources, distributes, and markets flooring products for remodeling and new constructions of residential and commercial spaces in the United States, Europe, Russia, and internationally."
DLR,0.0134,DIGITAL REALTY TRUST INC,"Digital Realty supports the world's leading enterprises and service providers by delivering the full spectrum of data center, colocation and interconnection solutions."
UHS,0.014,UNIVERSAL HEALTH SVCS INC,"Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, outpatient facilities, and behavioral health care facilities. The company operates through Acute Care Hospital Services, Behavioral Health Care Services, and Other segments."
MRO,0.0143,MARATHON OIL CORP,Marathon Oil Corporation operates as an independent exploration and production company in the United States and Equatorial Guinea.
ROP,0.0152,ROPER TECHNOLOGIES INC,"Roper Technologies, Inc. designs and develops software, and engineered products and solutions worldwide."
NYX,0.0153,NYSE EURONEXT,"NYSE Holdings LLC, through its subsidiaries, operates securities exchanges. It operates various stock exchanges, including the New York Stock Exchange (NYSE), NYSE Arca, Inc., and NYSE MKT LLC in the United States; and European based exchanges comprising Euronext N.V."
MFE,0.0154,MCAFEE INC,"McAfee LLC develops and delivers security solutions and services that protect systems, networks, and mobile devices for business and personal use in the United States and internationally."
NOVL,0.0154,NOVELL INC,"Novell, Inc. provides Net services software solutions that deliver services to secure various networks that include the Internet, intranets, extranets, wired to wireless networks, and corporate and public networks."
PH,0.0159,PARKER-HANNIFIN CORP,"Parker-Hannifin Corporation manufactures and sells motion and control technologies and systems for various mobile, industrial, and aerospace markets worldwide. The company operates through two segments, Diversified Industrial and Aerospace Systems."
GPC,0.0159,GENUINE PARTS CO,"Genuine Parts Company distributes automotive replacement parts, industrial parts and materials, and business products in the United States, Canada, Mexico, Australasia, France, the United Kingdom, Germany, Poland, the Netherlands, and Belgium."
JNJ,0.0166,JOHNSON & JOHNSON,"Johnson & Johnson researches and develops, manufactures, and sells various products in the health care field worldwide. It operates in three segments: Consumer, Pharmaceutical, and Medical Devices."
HAR,0.0174,HARMAN INTERNATIONAL INDS,"Harman International Industries, Incorporated designs and engineers connected products and solutions for automakers, consumers, and enterprises worldwide. The company operates through four segments: Connected Car, Lifestyle Audio, Professional Solutions, and Connected Services."
JNY,0.0178,JONES GROUP INC,"Premier Brands Group Holdings LLC designs, markets, and wholesales apparel, footwear, jeanswear, jewelry, and handbags in the United States and internationally."
FDO,0.018,FAMILY DOLLAR STORES,"Family Dollar Stores, Inc. operates a chain of general merchandise retail discount stores primarily for low- and middle-income consumers in the United States."
MCD,0.0182,MCDONALD'S CORP,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. Its restaurants offer various food products and beverages, as well as breakfast menu. As of December 31, 2019, the company operated 38,695 restaurants."
CIEN,0.0182,CIENA CORP,"Ciena Corporation provides network hardware, software, and services that support the transport, routing, switching, aggregation, service delivery, and management of video, data, and voice traffic on communications networks worldwide."
TIF,0.0188,TIFFANY & CO,"Tiffany & Co., through its subsidiaries, designs, manufactures, and retails jewelry and other items. The company offers jewelry collections, engagement rings, and wedding bands. It also sells watches, home and accessories products, and fragrances; and wholesales diamonds and earnings."
IR,0.0192,INGERSOLL RAND INC,"Ingersoll Rand Inc. provides mission-critical flow control and compression equipment; and associated aftermarket parts, consumables, and services in the United States, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Industrials, Energy, and Medical."
TEL,0.0197,TE CONNECTIVITY LTD,"TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensor solutions in Europe, the Middle East, Africa, the Asia-Pacific, and the Americas."
HFC,0.02,HOLLYFRONTIER CORP,"HollyFrontier Corporation operates as an independent petroleum refiner in the United States. The company operates through three segments: Refining, Lubricants and Specialty Products, and HEP."
GME,0.0205,GAMESTOP CORP,"GameStop Corp. operates as a multichannel video game, consumer electronics, and collectibles retailer in the United States, Canada, Australia, and Europe."
XOM,0.0211,EXXON MOBIL CORP,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments."
APH,0.0213,AMPHENOL CORP,"Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally."
