,dist,conm,busdesc
BUD,0.0,ANHEUSER-BUSCH INBEV,"Anheuser-Busch InBev SA/NV, a brewing company, engages in the production, distribution, and sale of beer, alcoholic beverages, and soft drinks worldwide."
MCD,0.0066,MCDONALD'S CORP,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. Its restaurants offer various food products and beverages, as well as breakfast menu. As of December 31, 2019, the company operated 38,695 restaurants."
NSC,0.0173,NORFOLK SOUTHERN CORP,"Norfolk Southern Corporation, together with its subsidiaries, engages in the rail transportation of raw materials, intermediate products, and finished goods in the United States."
LVS,0.0267,LAS VEGAS SANDS CORP,"Las Vegas Sands Corp., together with its subsidiaries, develops, owns, and operates integrated resorts in Asia and the United States."
KMI,0.0338,KINDER MORGAN INC,"Kinder Morgan, Inc. operates as an energy infrastructure company in North America. The company operates through Natural Gas Pipelines, Products Pipelines, Terminals, and CO2 segments."
STZ,0.0406,CONSTELLATION BRANDS,"Constellation Brands, Inc., together with its subsidiaries, produces, imports, and markets beer, wine, and spirits in the United States, Canada, Mexico, New Zealand, and Italy."
VTR,0.0408,VENTAS INC,"Ventas, an S&P 500 company, operates at the intersection of two powerful and dynamic industries - healthcare and real estate."
CSX,0.0432,CSX CORP,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services."
PFE,0.0437,PFIZER INC,"Pfizer Inc. develops, manufactures, and sells healthcare products worldwide."
MON,0.0457,MONSANTO CO,"Monsanto Company, together with its subsidiaries, provides agricultural products for farmers worldwide. It operates in two segments, Seeds and Genomics, and Agricultural Productivity."
CF,0.048,CF INDUSTRIES HOLDINGS INC,"CF Industries Holdings, Inc. manufactures and distributes nitrogen fertilizers and other nitrogen products worldwide. Its principal nitrogen fertilizer products include anhydrous ammonia, granular urea, urea ammonium nitrate solution, and ammonium nitrate."
DISCA,0.0484,DISCOVERY INC,"Discovery, Inc. operates as a media company in the United States and internationally. The company operates in two segments, U.S. Networks and International Networks."
AMGN,0.0495,AMGEN INC,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology and neuroscience areas."
HRB,0.0506,BLOCK H & R INC,"H&R Block, Inc., through its subsidiaries, provides assisted income tax return preparation, do-it-yourself (DIY) tax, and virtual tax preparation services and products to the general public primarily in the United States, Canada, and Australia."
RE,0.0511,EVEREST RE GROUP LTD,"Everest Re Group, Ltd., through its subsidiaries, provides reinsurance and insurance products in the United States, Bermuda, and internationally. The company operates through four segments: U.S. Reinsurance, International, Bermuda, and Insurance. The U.S."
BXP,0.0527,BOSTON PROPERTIES INC,"Boston Properties (NYSE: BXP) is the largest publicly-held developer and owner of Class A office properties in the United States, concentrated in five markets - Boston, Los Angeles, New York, San Francisco and Washington, DC."
EVHC,0.054,ENVISION HEALTHCARE CORP,"Envision Healthcare Corporation, through its subsidiaries, provides various healthcare services in the United States. The company operates through two segments, Physician Services and Ambulatory Services."
STJ,0.0553,ST JUDE MEDICAL INC,"St. Jude Medical, Inc. was acquired by St. Jude Medical, LLC. St."
NFX,0.0567,NEWFIELD EXPLORATION CO,"Ovintiv Exploration Inc. engages in the exploration, development, and production of crude oil, natural gas, and natural gas liquids in the United States. Ovintiv Exploration Inc. was formerly known as Newfield Exploration Company and changed its name to Ovintiv Exploration Inc. in 2020."
CELG,0.0598,CELGENE CORP,"Celgene Corporation, a biopharmaceutical company, discovers, develops, and commercializes therapies for the treatment of cancer and inflammatory diseases worldwide."
VNO,0.0625,VORNADO REALTY TRUST,Vornado's portfolio is concentrated in the nation's key market - New York City - along with the premier asset in both Chicago and San Francisco. Vornado is also the real estate industry leader in sustainability policy.
CCI,0.0632,CROWN CASTLE INTL CORP,"Crown Castle owns, operates and leases more than 40,000 cell towers and approximately 80,000 route miles of fiber supporting small cells and fiber solutions across every major U.S. market."
BCR,0.0636,BARD (C.R.) INC,"C. R. Bard, Inc. designs, manufactures, packages, distributes, and sells medical, surgical, diagnostic, and patient care devices worldwide."
FISV,0.0696,FISERV INC,"Fiserv, Inc., together with its subsidiaries, provides financial services technology worldwide."
