,dist,conm,busdesc
HPQ,0.0,HP INC,"HP Inc., together with its subsidiaries, provides personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services in the United States and internationally."
NFLX,0.0097,NETFLIX INC,"Netflix, Inc. provides subscription streaming entertainment service. It offers TV series, documentaries, and feature films across various genres and languages."
AET,0.0134,AETNA INC,"Aetna Inc. operates as a health care benefits company in the United States. It operates through three segments: Health Care, Group Insurance, and Large Case Pensions."
POOL,0.0134,POOL CORP,"Pool Corporation distributes swimming pool supplies, equipment, and related leisure products in the United States and internationally."
OKE,0.014,ONEOK INC,"ONEOK, Inc., together with its subsidiaries, engages in gathering, processing, storage, and transportation of natural gas in the United States. It operates through Natural Gas Gathering and Processing, Natural Gas Liquids, and Natural Gas Pipelines segments."
GT,0.0164,GOODYEAR TIRE & RUBBER CO,"The Goodyear Tire & Rubber Company, together with its subsidiaries, develops, manufactures, distributes, and sells tires and related products and services worldwide."
AVY,0.0165,AVERY DENNISON CORP,Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide.
AAP,0.0188,ADVANCE AUTO PARTS INC,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks."
CAG,0.0202,CONAGRA BRANDS INC,"Conagra Brands, Inc., together with its subsidiaries, operates as a consumer packaged goods food company in North America. The company operates through Grocery & Snacks, Refrigerated & Frozen, International, and Foodservice segments."
JWN,0.0206,NORDSTROM INC,"Nordstrom, Inc., a fashion retailer, provides apparels, shoes, cosmetics, and accessories for women, men, young adults, and children."
NYT,0.0208,NEW YORK TIMES CO  -CL A,"The New York Times Company, together with its subsidiaries, provides news and information for readers and viewers across various platforms worldwide."
FE,0.0218,FIRSTENERGY CORP,"FirstEnergy Corp., through its subsidiaries, generates, transmits, and distributes electricity in the United States. The company operates through Regulated Distribution and Regulated Transmission segments."
M,0.0257,MACY'S INC,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands."
WHR,0.0263,WHIRLPOOL CORP,"Whirlpool Corporation manufactures and markets home appliances and related products. It operates through four segments: North America; Europe, Middle East and Africa; Latin America; and Asia."
SAIC,0.0264,SCIENCE APPLICATIONS INTL CP,"Science Applications International Corporation provides technical, engineering, and enterprise information technology (IT) services primarily in the United States."
KMX,0.0275,CARMAX INC,"CarMax, Inc., through its subsidiaries, operates as a retailer of used vehicles in the United States. The company operates in two segments, CarMax Sales Operations and CarMax Auto Finance."
TXT,0.0276,TEXTRON INC,"Textron Inc. operates in the aircraft, defense, industrial, and finance businesses worldwide."
EXPE,0.0276,EXPEDIA GROUP INC,"Expedia Group, Inc. operates as an online travel company worldwide. It operates through four segments: Core Online Travel Agencies, Trivago, Vrbo, and Egencia."
PGR,0.0287,PROGRESSIVE CORP-OHIO,"The Progressive Corporation, through its subsidiaries, provides personal and commercial auto insurance, residential property insurance, and other specialty property-casualty insurance and related services primarily in the United States."
AMCR,0.0288,AMCOR PLC,"Amcor plc develops, manufactures, and sells various packaging products for food, beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries worldwide. It operates through two segments, Flexibles and Rigid Packaging."
NRG,0.0297,NRG ENERGY INC,"NRG Energy, Inc., together with its subsidiaries, operates as an energy company in the United States. It operates through Generation and Retail segments."
CBRE,0.0355,CBRE GROUP INC,"CBRE Group, Inc. operates as a commercial real estate services and investment company worldwide. It operates through Advisory Services, Global Workplace Solutions, and Real Estate Investments segments."
NCR,0.0364,NCR CORP,"NCR Corporation provides software and services worldwide. The company operates through Banking, Retail, Hospitality, and Other segments."
MTW,0.0401,MANITOWOC CO,"The Manitowoc Company, Inc. provides engineered lifting equipment for the construction industry in the Americas, Europe, Africa, the Middle East, and the Asia Pacific."
T,0.0423,AT&T INC,"AT&T Inc. provides telecommunication, media, and technology services worldwide. The company operates through four segments: Communications, WarnerMedia, Latin America, and Xandr."
LDOS,0.0443,LEIDOS HOLDINGS INC,"Leidos Holdings, Inc. provides services and solutions in the defense, intelligence, civil, and health markets in the United States and internationally. It operates through three segments: Defense Solutions, Civil, and Health."
