,dist,conm,busdesc
UNH,0.0,UNITEDHEALTH GROUP INC,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. It operates through four segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx."
ANTM,0.3713,ANTHEM INC,"Anthem, Inc., through its subsidiaries, operates as a health benefits company in the United States. It operates through three segments: Commercial & Specialty Business, Government Business, and Other."
AET,0.4056,AETNA INC,"Aetna Inc. operates as a health care benefits company in the United States. It operates through three segments: Health Care, Group Insurance, and Large Case Pensions."
CVH,0.4771,COVENTRY HEALTH CARE INC,"As of January 1, 2014, Coventry Health Care, Inc. was acquired by Aetna Inc. Coventry Health Care, Inc. operates as a managed healthcare company in the United States."
CI,0.6461,CIGNA CORP,"Cigna Corporation provides insurance and related products and services. It operates through Health Services, Integrated Medical, International Markets, and Group Disability and Other segments."
DGX,0.6798,QUEST DIAGNOSTICS INC,"Quest Diagnostics Incorporated provides diagnostic testing, information, and services in the United States and internationally."
UHS,0.7102,UNIVERSAL HEALTH SVCS INC,"Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, outpatient facilities, and behavioral health care facilities. The company operates through Acute Care Hospital Services, Behavioral Health Care Services, and Other segments."
NAVI,0.7791,NAVIENT CORP,"Navient Corporation provides education loan management and business processing solutions for education, healthcare, and government clients at the federal, state, and local levels in the United States."
STE,0.7841,STERIS PLC,"STERIS plc provides infection prevention and other procedural products and services worldwide. It operates in four segments: Healthcare Products, Healthcare Specialty Services, Life Sciences, and Applied Sterilization Technologies."
GL,0.7991,GLOBE LIFE INC,"Globe Life Inc., through its subsidiaries, provides various life and supplemental health insurance products, and annuities to lower middle to middle income households in the United States."
MHS,0.8188,MEDCO HEALTH SOLUTIONS INC,"Medco Health Solutions, Inc. is a healthcare company provides clinically-driven pharmacy services for private and public employers, health plans, labor unions and government agencies, and individuals. Medco Health Solutions, Inc. was formerly known as Merck-Medco Managed Care, L.L.C."
EVHC,0.8307,ENVISION HEALTHCARE CORP,"Envision Healthcare Corporation, through its subsidiaries, provides various healthcare services in the United States. The company operates through two segments, Physician Services and Ambulatory Services."
HSP,0.8666,HOSPIRA INC,"Hospira, Inc. provides injectable drugs and infusion technologies to develop, manufacture, distribute, and market products worldwide. The company operates through Americas, EMEA, and APAC segments."
AGN,0.868,ALLERGAN PLC,"Allergan plc, a pharmaceutical company, develops, manufactures, and commercializes branded pharmaceutical, device, biologic, surgical, and regenerative medicine products worldwide. The company operates in three segments: US Specialized Therapeutics, US General Medicine, and International."
WM,0.8791,WASTE MANAGEMENT INC,"Waste Management, Inc., through its subsidiaries, provides waste management environmental services to residential, commercial, industrial, and municipal customers in North America."
