,dist,conm,busdesc
ACS,0.0,AFFILIATED COMPUTER SERVICES,"Conduent Business Services, LLC provides digital platforms and services for Fortune 100 companies and government entities worldwide."
XRX,0.0619,XEROX HOLDINGS CORP,"Xerox Holdings Corporation designs, develops, and sells document management systems and solutions in the United States, Europe, Canada, and internationally."
EL,0.216,LAUDER (ESTEE) COS INC -CL A,"The Estee Lauder Companies Inc. manufactures and markets skin care, makeup, fragrance, and hair care products worldwide."
EXPD,0.2376,EXPEDITORS INTL WASH INC,"Expeditors International of Washington, Inc. provides logistics services in the Americas, North Asia, South Asia, Europe, the Middle East, Africa, and India."
RJF,0.3863,RAYMOND JAMES FINANCIAL CORP,"Raymond James Financial, Inc., through its subsidiaries, engages in the underwriting, distribution, trading, and brokerage of equity and debt securities in the United States, Canada, and Europe."
AIZ,0.406,ASSURANT INC,"Assurant, Inc., together with its subsidiaries, provides lifestyle and housing solutions that support, protect, and connect consumer purchases in North America, Latin America, Europe, and the Asia Pacific."
EBAY,0.4061,EBAY INC,eBay Inc. operates the marketplace and classifieds platforms that connect buyers and sellers worldwide.
RSG,0.4608,REPUBLIC SERVICES INC,"Republic Services, Inc., together with its subsidiaries, provides non-hazardous solid waste collection, transfer, disposal, recycling, and environmental services in the United States. The company serves small-container, large-container, and municipal and residential customers."
SBUX,0.4815,STARBUCKS CORP,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: Americas, International, and Channel Development."
CMG,0.5099,CHIPOTLE MEXICAN GRILL INC,"Chipotle Mexican Grill, Inc., together with its subsidiaries, operates Chipotle Mexican Grill restaurants. As of September 30, 2020, it operated approximately 2,700 restaurants in the United States, Canada, the United Kingdom, France, and Germany."
EW,0.5154,EDWARDS LIFESCIENCES CORP,"Edwards Lifesciences Corporation provides products and technologies for structural heart disease, and critical care and surgical monitoring in the United States and internationally."
TYC,0.5184,TYCO INTERNATIONAL PLC,"As of September 2, 2016, Tyco International plc was acquired by Johnson Controls International plc. Tyco International plc provides security products and services, fire detection and suppression products and services, and life safety products worldwide."
PRGO,0.549,PERRIGO CO PLC,Perrigo Company plc provides over-the-counter (OTC) health and wellness solutions that enhance individual well-being by empowering consumers to prevent or treat conditions that can be self-managed.
