,dist,conm,busdesc
NSC,0.0,NORFOLK SOUTHERN CORP,"Norfolk Southern Corporation, together with its subsidiaries, engages in the rail transportation of raw materials, intermediate products, and finished goods in the United States."
CSX,0.2652,CSX CORP,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services."
UNP,0.3212,UNION PACIFIC CORP,"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, engages in the railroad business in the United States."
KSU,0.475,KANSAS CITY SOUTHERN,"Kansas City Southern, a transportation holding company, provides domestic and international rail transportation services in North America."
TIN,0.6106,TEMPLE-INLAND INC,"Temple-Inland LLC went out of business. Temple-Inland LLC, through its subsidiaries, manufactures and sells corrugated packaging and building products in the United States and Mexico."
ROK,0.6148,ROCKWELL AUTOMATION,"Rockwell Automation, Inc. provides industrial automation and digital transformation solutions. The company operates in two segments, Architecture & Software, and Control Products & Solutions."
R,0.6398,RYDER SYSTEM INC,"Ryder System, Inc. provides transportation and supply chain management solutions worldwide. The company operates through three segments: Fleet Management Solutions (FMS), Supply Chain Solutions (SCS), and Dedicated Transportation Solutions (DTS)."
FDX,0.6997,FEDEX CORP,"FedEx Corporation provides transportation, e-commerce, and business services worldwide. Its FedEx Express segment offers shipping services for delivery of packages and freight."
PKG,0.7212,PACKAGING CORP OF AMERICA,Packaging Corporation of America manufactures and sells containerboard and corrugated packaging products in the United States. The company operates through Packaging and Paper segments.
UPS,0.7683,UNITED PARCEL SERVICE INC,"United Parcel Service, Inc. provides letter and package delivery, specialized transportation, logistics, and financial services. It operates through three segments: U.S. Domestic Package, International Package, and Supply Chain & Freight. The U.S."
AVY,0.7725,AVERY DENNISON CORP,Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide.
UAL,0.7969,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. It transports people and cargo through its mainline and regional fleets."
