,dist,conm,busdesc
KG,0.0,KING PHARMACEUTICALS INC,"King Pharmaceuticals LLC develops, and markets prescription pharmaceutical products and animal health products worldwide."
MFE,0.1039,MCAFEE INC,"McAfee LLC develops and delivers security solutions and services that protect systems, networks, and mobile devices for business and personal use in the United States and internationally."
NOVL,0.1383,NOVELL INC,"Novell, Inc. provides Net services software solutions that deliver services to secure various networks that include the Internet, intranets, extranets, wired to wireless networks, and corporate and public networks."
UST,0.1879,PROSHARES ULTRA 7-10 YR TRES,ProShares Trust - ProShares Ultra 7-10 Year Treasury is an exchange traded fund launched and managed by ProShare Advisors LLC. The fund invests in the fixed income markets of the United States.
MDLZ,0.2183,MONDELEZ INTERNATIONAL INC,"Mondelez International, Inc., through its subsidiaries, manufactures, markets, and sells snack food and beverage products worldwide."
GENZ,0.4199,GENZYME CORP,"Genzyme Corporation, a biotechnology company, engages in the discovery and development of products and services primarily in the areas of rare genetic diseases, multiple sclerosis, cardiovascular diseases, and endocrinology."
AT,0.4656,ATLANTIC POWER CORP,Atlantic Power Corporation owns and operates a fleet of power generation assets in the United States and Canada.
ARG,0.5019,AIRGAS INC,"Airgas, Inc. supplies industrial, medical, and specialty gases; and welding equipment and related products. The company operates through two segments, Distribution and All Other Operations."
CVX,0.5237,CHEVRON CORP,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream."
AYE,0.531,ALLEGHENY ENERGY INC,"As of January 1, 2014, Allegheny Energy Inc. was acquired by FirstEnergy Corp. Allegheny Energy, Inc. owns & operates electric generation facilities & delivers electric services to customers in Pennsylvania, West Virginia, Maryland & Virginia."
BSC,0.5571,DEUTSCHE BK ELEMENT-SML CAP,"As of August 22, 2011, ELEMENTS Linked to the Benjamin Graham Small Cap Value Index - Total Return has gone out of business. It is an exchange traded note launched by Deutsche Bank AG (London). The note seeks to track the performance of the Benjamin Graham Small Cap Value Index-Total Return."
KR,0.5657,KROGER CO,"The Kroger Co. operates as a retailer in the United States. The company operates supermarkets, multi-department stores, marketplace stores, and price impact warehouse stores."
BMS,0.5896,BEMIS CO INC,"Bemis Company, Inc. manufactures and sells packaging products in the United States, Brazil, other Americas, Europe, and the Asia-Pacific. It operates through three segments: U.S. Packaging, Latin America Packaging, and Rest of World Packaging."
SUNW,0.6804,SUNWORKS INC,"Sunworks, Inc., through its subsidiaries, provides photovoltaic based power systems for the agricultural, commercial, industrial, public works, and residential markets in California, Massachusetts, Nevada, Oregon, New Jersey, and Washington."
AE,0.7212,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc., through its subsidiaries, primarily engages in the marketing, transportation, and storage of crude oil in the United States."
SPGI,0.7291,S&P GLOBAL INC,"S&P Global Inc., together with its subsidiaries, provides ratings, benchmarks, analytics, and data to the capital and commodity markets worldwide."
BIO,0.7484,BIO-RAD LABORATORIES INC,"Bio-Rad Laboratories, Inc. develops, manufactures, and markets products and solutions for the life science research and clinical diagnostic markets in Europe, the United States, Canada, and Latin America."
TAP,0.7644,MOLSON COORS BEVERAGE CO,"Molson Coors Beverage Company manufactures, markets, and sells beer and other malt beverage products in the United States, Canada, Europe, and internationally."
URBN,0.8331,URBAN OUTFITTERS INC,"Urban Outfitters, Inc. engages in the retail and wholesale of general consumer products. The company operates through three segments: Retail, wholesale, and Subscription."
GD,0.8498,GENERAL DYNAMICS CORP,"General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through five segments: Aerospace, Combat Systems, Information Technology, Mission Systems, and Marine Systems."
