,dist,conm,busdesc
FANG,0.0,DIAMONDBACK ENERGY INC,"Diamondback Energy, Inc., an independent oil and natural gas company, focuses on the acquisition, development, exploration, and exploitation of unconventional and onshore oil and natural gas reserves in the Permian Basin in West Texas."
CME,0.5756,CME GROUP INC,"CME Group Inc., through its subsidiaries, operates contract markets for the trading of futures and options on futures contracts worldwide."
EVHC,0.5863,ENVISION HEALTHCARE CORP,"Envision Healthcare Corporation, through its subsidiaries, provides various healthcare services in the United States. The company operates through two segments, Physician Services and Ambulatory Services."
MCO,0.624,MOODY'S CORP,"Moody's Corporation provides credit ratings and assessment services; and credit, capital markets, and economic research, data, and analytical tools worldwide. It operates through two segments, Moody's Investors Service and Moody's Analytics."
ENDP,0.6579,ENDO INTERNATIONAL PLC,Endo International plc manufactures and sells generic and branded pharmaceuticals in the United States and internationally.
WCG,0.6992,WELLCARE HEALTH PLANS INC,"WellCare Health Plans, Inc. provides government-sponsored managed care services. The company operates in three segments: Medicaid Health Plans, Medicare Health Plans, and Medicare Prescription Drug Plans (PDPs)."
UHS,0.7206,UNIVERSAL HEALTH SVCS INC,"Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, outpatient facilities, and behavioral health care facilities. The company operates through Acute Care Hospital Services, Behavioral Health Care Services, and Other segments."
CIEN,0.7243,CIENA CORP,"Ciena Corporation provides network hardware, software, and services that support the transport, routing, switching, aggregation, service delivery, and management of video, data, and voice traffic on communications networks worldwide."
R,0.7468,RYDER SYSTEM INC,"Ryder System, Inc. provides transportation and supply chain management solutions worldwide. The company operates through three segments: Fleet Management Solutions (FMS), Supply Chain Solutions (SCS), and Dedicated Transportation Solutions (DTS)."
RRD,0.7502,DONNELLEY (R R) & SONS CO,"R.R. Donnelley & Sons Company, an integrated communications provider, enables organizations to create, manage, deliver, and optimize their multichannel marketing and business communications."
PETM,0.7518,PETSMART INC,"PetSmart, Inc., together with its subsidiaries, operates as a specialty retailer of products, services, and solutions for pets in the United States, Puerto Rico, and Canada."
FB,0.7523,FACEBOOK INC,"Facebook, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and in-home devices worldwide."
OMC,0.7628,OMNICOM GROUP,"Omnicom Group Inc., together with its subsidiaries, provides advertising, marketing, and corporate communications services. It provides a range of services in the areas of advertising, customer relationship management, public relations, and healthcare."
TGNA,0.7659,TEGNA INC,TEGNA Inc. operates as a media company in the United States. The company operates television stations and radio stations that deliver television programming and digital content. It offers content and information to consumers across various platforms.
AVP,0.7689,AVON PRODUCTS,"Avon Products, Inc. manufactures, markets, and sells beauty and related products in Europe, the Middle East, Africa, south Latin America, north Latin America, and the Asia Pacific."
DGX,0.773,QUEST DIAGNOSTICS INC,"Quest Diagnostics Incorporated provides diagnostic testing, information, and services in the United States and internationally."
NYT,0.788,NEW YORK TIMES CO  -CL A,"The New York Times Company, together with its subsidiaries, provides news and information for readers and viewers across various platforms worldwide."
IPG,0.8045,INTERPUBLIC GROUP OF COS,"The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates through two segments, Integrated Agency Networks and Constituency Management Group."
HSIC,0.8409,HENRY SCHEIN INC,"Henry Schein, Inc., a solutions company for health care professionals, provides health care products and services to office-based dental practitioners and laboratories, physician practices, government, institutional health care clinics, and other alternate care clinics worldwide."
