,dist,conm,busdesc
VMC,0.0,VULCAN MATERIALS CO,"Vulcan Materials Company produces and supplies construction materials primarily in the United States. The company operates through four segments: Aggregates, Asphalt, Concrete, and Calcium."
POOL,0.0025,POOL CORP,"Pool Corporation distributes swimming pool supplies, equipment, and related leisure products in the United States and internationally."
TFX,0.005,TELEFLEX INC,"Teleflex Incorporated designs, develops, manufactures, and supplies single-use medical devices for common diagnostic and therapeutic procedures in critical care and surgical applications worldwide."
LOW,0.0053,LOWE'S COS INC,"Lowe's Companies, Inc., together with its subsidiaries, operates as a home improvement retailer in the United States, Canada, and Mexico. The company offers a line of products for construction, maintenance, repair, remodeling, and decorating."
CVH,0.0055,COVENTRY HEALTH CARE INC,"As of January 1, 2014, Coventry Health Care, Inc. was acquired by Aetna Inc. Coventry Health Care, Inc. operates as a managed healthcare company in the United States."
CVX,0.0055,CHEVRON CORP,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream."
IEX,0.0059,IDEX CORP,"IDEX Corporation, together with its subsidiaries, operates as an applied solutions company worldwide. The company operates through three segments: Fluid & Metering Technologies (FMT), Health & Science Technologies (HST), and Fire & Safety/Diversified Products (FSDP)."
DHR,0.0062,DANAHER CORP,"Danaher Corporation designs, manufactures, and markets professional, medical, industrial, and commercial products and services worldwide. The company operates through three segments; Life Sciences, Diagnostics, and Environmental & Applied Solutions."
UHS,0.0075,UNIVERSAL HEALTH SVCS INC,"Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, outpatient facilities, and behavioral health care facilities. The company operates through Acute Care Hospital Services, Behavioral Health Care Services, and Other segments."
JKHY,0.0079,HENRY (JACK) & ASSOCIATES,"Jack Henry & Associates, Inc. provides technology solutions and payment processing services primarily for financial services organizations in the United States."
JNY,0.0081,JONES GROUP INC,"Premier Brands Group Holdings LLC designs, markets, and wholesales apparel, footwear, jeanswear, jewelry, and handbags in the United States and internationally."
ROST,0.0086,ROSS STORES INC,"Ross Stores, Inc., together with its subsidiaries, operates off-price retail apparel and home fashion stores under the Ross Dress for Less and dd's DISCOUNTS brands. Its stores primarily offers apparel, accessories, footwear, and home fashions."
XOM,0.0087,EXXON MOBIL CORP,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments."
IVZ,0.0089,INVESCO LTD,Invesco Ltd. is a publicly owned investment manager.
PH,0.0092,PARKER-HANNIFIN CORP,"Parker-Hannifin Corporation manufactures and sells motion and control technologies and systems for various mobile, industrial, and aerospace markets worldwide. The company operates through two segments, Diversified Industrial and Aerospace Systems."
SSP,0.0095,EW SCRIPPS  -CL A,"The E.W. Scripps Company, together with its subsidiaries, operates as a media enterprise through a portfolio of local and national media brands. The company operates through Local Media, National Media, and Other segments."
GD,0.0097,GENERAL DYNAMICS CORP,"General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through five segments: Aerospace, Combat Systems, Information Technology, Mission Systems, and Marine Systems."
RL,0.0099,RALPH LAUREN CORP,"Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally."
MRK,0.0105,MERCK & CO,"Merck & Co., Inc. provides healthcare solutions worldwide."
PFE,0.0109,PFIZER INC,"Pfizer Inc. develops, manufactures, and sells healthcare products worldwide."
TIE,0.0109,TITANIUM METALS CORP,Titanium Metals Corporation produces and sells titanium melted and mill products.
DOV,0.0113,DOVER CORP,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide."
HSIC,0.0116,HENRY SCHEIN INC,"Henry Schein, Inc., a solutions company for health care professionals, provides health care products and services to office-based dental practitioners and laboratories, physician practices, government, institutional health care clinics, and other alternate care clinics worldwide."
EL,0.0117,LAUDER (ESTEE) COS INC -CL A,"The Estee Lauder Companies Inc. manufactures and markets skin care, makeup, fragrance, and hair care products worldwide."
STE,0.0145,STERIS PLC,"STERIS plc provides infection prevention and other procedural products and services worldwide. It operates in four segments: Healthcare Products, Healthcare Specialty Services, Life Sciences, and Applied Sterilization Technologies."
MMM,0.0148,3M CO,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer."
BHI,0.016,BAKER HUGHES INC,"Baker Hughes Holdings LLC operates as an energy technology company. The company operates through four segments: Oilfield Services, Oilfield Equipment, Turbomachinery & Process Solutions, and Digital Solutions."
COST,0.0163,COSTCO WHOLESALE CORP,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan."
SIG,0.0165,SIGNET JEWELERS LTD,"Signet Jewelers Limited engages in the retail sale of diamond jewelry, watches, and other products. As of February 02, 2019, it operated 3,334 stores and kiosks. The company operates through three segments: North America, International, and Other."
NEM,0.0169,NEWMONT CORP,"Newmont Corporation engages in the production and exploration of gold, copper, silver, zinc, and lead. The company has operations and/or assets in the United States, Canada, Mexico, Dominican Republic, Peru, Suriname, Argentina, Chile, Australia, and Ghana."
ESS,0.0177,ESSEX PROPERTY TRUST,"Essex Property Trust, Inc., an S&P 500 company, is a fully integrated real estate investment trust (REIT) that acquires, develops, redevelops, and manages multifamily residential properties in selected West Coast markets."
DVN,0.0186,DEVON ENERGY CORP,"Devon Energy Corporation, an independent energy company, primarily engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. It operates approximately 3,955 gross wells."
PEAK,0.0233,HEALTHPEAK PROPERTIES INC,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company."
APA,0.0237,APACHE CORP,"Apache Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids (NGLs)."
PLD,0.0252,PROLOGIS INC,"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets."
VRTX,0.0293,VERTEX PHARMACEUTICALS INC,Vertex Pharmaceuticals Incorporated engages in developing and commercializing therapies for treating cystic fibrosis.
