,dist,conm,busdesc
JOY,0.0,JOY GLOBAL INC,"Komatsu Mining Corp. manufactures and services mining equipment for the extraction of coal, copper, iron ore, oil sands, gold, and other minerals worldwide. It operates in two segments, Underground Mining Machinery and Surface Mining Equipment."
D,0.0017,DOMINION ENERGY INC,"Dominion Energy, Inc. produces and transports energy. The company's Dominion Energy Virginia segment engages in the regulated electric generation, transmission, and distribution operations that serve residential, commercial, industrial, and governmental customers in Virginia and North Carolina."
AEP,0.0045,AMERICAN ELECTRIC POWER CO,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States."
EIX,0.0045,EDISON INTERNATIONAL,"Edison International, through its subsidiaries, engages in the generation, transmission, and distribution of electricity in the United States. The company generates electricity through hydroelectric, diesel/liquid petroleum gas, natural gas, nuclear, and photovoltaic sources."
COL,0.0072,ROCKWELL COLLINS,"Collins Aerospace designs, produces and supports communication and aviation systems worldwide."
NEE,0.0101,NEXTERA ENERGY INC,"NextEra Energy, Inc., through its subsidiaries, generates, transmits, and distributes electric power in North America. The company generates electricity through wind, solar, nuclear, coal, oil, and natural gas facilities."
CNX,0.0111,CNX RESOURCES CORPORATION,"CNX Resources Corporation, an independent oil and gas company, explores for, develops, and produces natural gas properties primarily in the Appalachian Basin. The company operates through two divisions, Exploration and Production (E&P), and Midstream."
PTV,0.0111,PACTIV CORP,"Pactiv LLC manufactures and distributes food packaging and foodservice products. Its product lines include custom and stock foam, plastic, aluminum, pressed-paperboard, PE coated board, and molded-fiber packaging."
HRB,0.0125,BLOCK H & R INC,"H&R Block, Inc., through its subsidiaries, provides assisted income tax return preparation, do-it-yourself (DIY) tax, and virtual tax preparation services and products to the general public primarily in the United States, Canada, and Australia."
PNW,0.0126,PINNACLE WEST CAPITAL CORP,"Pinnacle West Capital Corporation, through its subsidiary, Arizona Public Service Company, provides retail and wholesale electric services primarily in the state of Arizona."
SCG,0.0139,SCANA CORP,"SCANA Corporation, through its subsidiaries, generates, transmits, distributes, and sells electricity to wholesale and retail customers. The company operates through Electric Operations, Gas Distribution, and Gas Marketing segments."
WRK,0.0147,WESTROCK CO,"WestRock Company manufactures and sells paper and packaging solutions in North America, South America, Europe, Asia, and Australia. The company operates through Corrugated Packaging and Consumer Packaging segments."
DTE,0.0154,DTE ENERGY CO,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.2 million residential, commercial, and industrial customers in southeastern Michigan."
TRV,0.0173,TRAVELERS COS INC,"The Travelers Companies, Inc., through its subsidiaries, provides a range of commercial and personal property, and casualty insurance products and services to businesses, government units, associations, and individuals in the United states and internationally."
CB,0.0185,CHUBB LTD,"Chubb Limited, through its subsidiaries, provides insurance and reinsurance products worldwide."
