,dist,conm,busdesc
RRD,0.0,DONNELLEY (R R) & SONS CO,"R.R. Donnelley & Sons Company, an integrated communications provider, enables organizations to create, manage, deliver, and optimize their multichannel marketing and business communications."
BC,0.011,BRUNSWICK CORP,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide."
DAL,0.0199,DELTA AIR LINES INC,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments, Airline and Refinery. Its domestic network centered on core hubs in Atlanta, Minneapolis-St."
LMT,0.02,LOCKHEED MARTIN CORP,"Lockheed Martin Corporation, a security and aerospace company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide."
CDW,0.0248,CDW CORP,"CDW Corporation provides integrated information technology (IT) solutions to business, government, education, and healthcare customers in the United States, the United Kingdom, and Canada. It operates through three segments: Corporate, Small Business, and Public."
BA,0.0255,BOEING CO,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide."
MET,0.0313,METLIFE INC,"MetLife, Inc. engages in the insurance, annuities, employee benefits, and asset management businesses worldwide. It operates through five segments: U.S.; Asia; Latin America; Europe, the Middle East and Africa; and MetLife Holdings."
GT,0.0322,GOODYEAR TIRE & RUBBER CO,"The Goodyear Tire & Rubber Company, together with its subsidiaries, develops, manufactures, distributes, and sells tires and related products and services worldwide."
MAS,0.034,MASCO CORP,"Masco Corporation designs, manufactures, and distributes home improvement and building products in North America, Europe, and internationally. The company operates through two segments, Plumbing Products and Decorative Architectural Products."
F,0.0349,FORD MOTOR CO,"Ford Motor Company designs, manufactures, markets, and services a range of Ford cars, trucks, sport utility vehicles, electrified vehicles, and Lincoln luxury vehicles worldwide. It operates through three segments: Automotive, Mobility, and Ford Credit."
PFG,0.0355,PRINCIPAL FINANCIAL GRP INC,"Principal Financial Group, Inc. provides retirement, asset management, and insurance products and services to businesses, individuals, and institutional clients worldwide. The company operates through Retirement and Income Solutions, Principal Global Investors, Principal International, and U.S."
HIG,0.0367,HARTFORD FINANCIAL SERVICES,"The Hartford Financial Services Group, Inc. provides insurance and financial services to individual and business customers in the United States and internationally."
UAL,0.0379,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. It transports people and cargo through its mainline and regional fleets."
LVLT,0.0445,LEVEL 3 COMMUNICATIONS INC,"Level 3 Parent, LLC provides various integrated communications services for enterprise, government, wholesale, and small and medium business customers in North America, Latin America, Europe, the Asia Pacific, the Middle East, and Africa."
FDC,0.0449,FIRST DATA CORP,"First Data Corporation provides commerce enabled technology and solutions for merchants, financial institutions, and card issuers in the United States, Canada, Europe, the Middle East, Africa, Latin America, and the Asia Pacific."
HII,0.0514,HUNTINGTON INGALLS IND INC,"Huntington Ingalls Industries, Inc. engages in the designing, building, overhauling, and repairing military ships in the United States. It operates through three segments: Ingalls Shipbuilding, Newport News Shipbuilding, and Technical Solutions."
PRU,0.052,PRUDENTIAL FINANCIAL INC,"Prudential Financial, Inc., through its subsidiaries, provides insurance, investment management, and other financial products and services."
MAR,0.0534,MARRIOTT INTL INC,"Marriott International, Inc. operates, franchises, and licenses hotel, residential, and timeshare properties worldwide. The company operates through North American Full-Service, North American Limited-Service, and Asia Pacific segments."
CHTR,0.0616,CHARTER COMMUNICATIONS INC,"Charter Communications, Inc., through its subsidiaries, provides cable services to residential and commercial customers in the United States."
IQV,0.0788,IQVIA HOLDINGS INC,"IQVIA Holdings Inc. provides advanced analytics, technology solutions, and contract research services to the life sciences industry in the Americas, Europe, Africa, and the Asia-Pacific."
CTLT,0.0817,CATALENT INC,"Catalent, Inc., together with its subsidiaries, provides delivery technologies and development solutions for drugs, biologics, and consumer and animal health products worldwide."
UIS,0.0817,UNISYS CORP,"Unisys Corporation operates as an information technology company worldwide. It operates in two segments, Services and Technology. The Services segment offers cloud and infrastructure services, application services, and business process outsourcing services."
DISH,0.0841,DISH NETWORK CORP,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States. The company operates in two segments, Pay-TV and Wireless."
AAL,0.0859,AMERICAN AIRLINES GROUP INC,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. It provides scheduled air transportation services for passengers and cargo. As of December 31, 2019, the company operated a mainline fleet of 942 aircraft."
