,dist,conm,busdesc
HAS,0.0,HASBRO INC,"Hasbro, Inc., together with its subsidiaries, operates as a play and entertainment company. The company's U.S."
WAB,0.0015,WABTEC CORP,"Wabtec Corporation provides technology-based equipment, systems, and services for the freight rail and passenger transit vehicle industries worldwide. It operates through two segments, Freight and Transit."
BR,0.002,BROADRIDGE FINANCIAL SOLUTNS,"Broadridge Financial Solutions, Inc. provides investor communications and technology-driven solutions for the financial services industry worldwide."
DOV,0.0021,DOVER CORP,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide."
CAG,0.0027,CONAGRA BRANDS INC,"Conagra Brands, Inc., together with its subsidiaries, operates as a consumer packaged goods food company in North America. The company operates through Grocery & Snacks, Refrigerated & Frozen, International, and Foodservice segments."
HOLX,0.003,HOLOGIC INC,"Hologic, Inc. develops, manufactures, and supplies diagnostics products, medical imaging systems, and surgical products for women's health through early detection and treatment in the United States, Europe, the Asia-Pacific, and internationally."
PCAR,0.0034,PACCAR INC,"PACCAR Inc designs, manufactures, and distributes light, medium, and heavy-duty commercial trucks in the United States, Europe, and internationally. The company operates in three segments: Truck, Parts, and Financial Services."
M,0.0042,MACY'S INC,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands."
FTNT,0.0045,FORTINET INC,"Fortinet, Inc. provides broad, integrated, and automated cybersecurity solutions worldwide."
LHX,0.0049,L3HARRIS TECHNOLOGIES INC,"L3Harris Technologies, Inc., an aerospace and defense technology company, provides mission-critical solutions for government and commercial customers worldwide."
SAIC,0.0055,SCIENCE APPLICATIONS INTL CP,"Science Applications International Corporation provides technical, engineering, and enterprise information technology (IT) services primarily in the United States."
GME,0.0055,GAMESTOP CORP,"GameStop Corp. operates as a multichannel video game, consumer electronics, and collectibles retailer in the United States, Canada, Australia, and Europe."
BMS,0.0065,BEMIS CO INC,"Bemis Company, Inc. manufactures and sells packaging products in the United States, Brazil, other Americas, Europe, and the Asia-Pacific. It operates through three segments: U.S. Packaging, Latin America Packaging, and Rest of World Packaging."
TMUS,0.0068,T-MOBILE US INC,"T-Mobile US, Inc., through its subsidiaries, provides wireless services for branded postpaid and prepaid, and wholesale customers in the United States, Puerto Rico, and the United States Virgin Islands. The company offers voice, messaging, and data services."
FDX,0.0068,FEDEX CORP,"FedEx Corporation provides transportation, e-commerce, and business services worldwide. Its FedEx Express segment offers shipping services for delivery of packages and freight."
LEG,0.0079,LEGGETT & PLATT INC,"Leggett & Platt, Incorporated designs and produces various engineered components and products worldwide. It operates through three segments: Bedding Products; Furniture, Flooring & Textile Products; and Specialized Products."
MRK,0.0083,MERCK & CO,"Merck & Co., Inc. provides healthcare solutions worldwide."
VIAB,0.0092,VIACOM INC,"As of December 4, 2019, Viacom Inc. was acquired by CBS Corporation. Viacom Inc. operates media brands that create entertainment content worldwide. It operates in two segments, Media Networks and Filmed Entertainment."
BIG,0.0093,BIG LOTS INC,"Big Lots, Inc., through its subsidiaries, operates as a retailer in the United States."
ALK,0.0094,ALASKA AIR GROUP INC,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon."
VNO,0.0104,VORNADO REALTY TRUST,Vornado's portfolio is concentrated in the nation's key market - New York City - along with the premier asset in both Chicago and San Francisco. Vornado is also the real estate industry leader in sustainability policy.
DISCA,0.0112,DISCOVERY INC,"Discovery, Inc. operates as a media company in the United States and internationally. The company operates in two segments, U.S. Networks and International Networks."
ODP,0.0113,ODP CORP,"The ODP Corporation provides business services and supplies, products, and technology solutions for small, medium, and enterprise businesses. The company operates in three divisions: Business Solutions, Retail, and CompuCom."
FMC,0.0116,FMC CORP,"FMC Corporation, an agricultural sciences company, provides crop protection, plant health, and professional pest and turf management products."
TSS,0.0121,TOTAL SYSTEM SERVICES INC,"As of September 17, 2019, Total System Services, Inc. was acquired by Global Payments Inc. Total System Services, Inc. provides payment processing, merchant, and related payment services to financial and nonfinancial institutions worldwide."
COST,0.0121,COSTCO WHOLESALE CORP,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan."
NDAQ,0.0137,NASDAQ INC,"Nasdaq, Inc. operates as a technology company that serves capital markets and other industries worldwide."
HON,0.0139,HONEYWELL INTERNATIONAL INC,Honeywell International Inc. operates as a diversified technology and manufacturing company worldwide.
SRE,0.0148,SEMPRA ENERGY,"Sempra Energy operates as an energy-services holding company in the United States and internationally. The company's San Diego Gas & Electric Company segment generates, transmits, and distributes electricity; and supplies natural gas."
GILD,0.0151,GILEAD SCIENCES INC,"Gilead Sciences, Inc., a research-based biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical needs in the United States, Europe, and internationally."
PEG,0.0152,PUBLIC SERVICE ENTRP GRP INC,"Public Service Enterprise Group Incorporated, through its subsidiaries, operates as an energy company primarily in the Northeastern and Mid-Atlantic United States. It operates through two segments, PSE&G and PSEG Power."
MSFT,0.0155,MICROSOFT CORP,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide."
RE,0.0156,EVEREST RE GROUP LTD,"Everest Re Group, Ltd., through its subsidiaries, provides reinsurance and insurance products in the United States, Bermuda, and internationally. The company operates through four segments: U.S. Reinsurance, International, Bermuda, and Insurance. The U.S."
CSX,0.0157,CSX CORP,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services."
UNP,0.0164,UNION PACIFIC CORP,"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, engages in the railroad business in the United States."
DXCM,0.0197,DEXCOM INC,"DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems in the United States and internationally. The company offers its systems for use by people with diabetes, as well as for use by healthcare providers."
CME,0.0246,CME GROUP INC,"CME Group Inc., through its subsidiaries, operates contract markets for the trading of futures and options on futures contracts worldwide."
