,dist,conm,busdesc
GRMN,0.0,GARMIN LTD,"Garmin Ltd. designs, develops, manufactures, markets, and distributes a range of navigation, communication, and information devices worldwide. It operates through five segments: Auto, Aviation, Marine, Outdoor, and Fitness."
ARG,0.2088,AIRGAS INC,"Airgas, Inc. supplies industrial, medical, and specialty gases; and welding equipment and related products. The company operates through two segments, Distribution and All Other Operations."
ANSS,0.3482,ANSYS INC,"ANSYS, Inc. develops and markets engineering simulation software and services worldwide."
GLW,0.3988,CORNING INC,"Corning Incorporated engages in display technologies, optical communications, environmental technologies, specialty materials, and life sciences businesses worldwide."
IVZ,0.402,INVESCO LTD,Invesco Ltd. is a publicly owned investment manager.
TDY,0.4074,TELEDYNE TECHNOLOGIES INC,"Teledyne Technologies Incorporated provides instrumentation, digital imaging, aerospace and defense electronics, and engineered systems in the United States, the United Kingdom, Canada, the Netherlands, and internationally."
CEPH,0.4204,CEPHALON INC,"Cephalon, Inc. engages in the discovery and development of medicines for central nervous system disorders, pain, and cancer."
VRTX,0.4287,VERTEX PHARMACEUTICALS INC,Vertex Pharmaceuticals Incorporated engages in developing and commercializing therapies for treating cystic fibrosis.
WRK,0.4288,WESTROCK CO,"WestRock Company manufactures and sells paper and packaging solutions in North America, South America, Europe, Asia, and Australia. The company operates through Corrugated Packaging and Consumer Packaging segments."
HOLX,0.448,HOLOGIC INC,"Hologic, Inc. develops, manufactures, and supplies diagnostics products, medical imaging systems, and surgical products for women's health through early detection and treatment in the United States, Europe, the Asia-Pacific, and internationally."
BRYN,0.4637,RNETHEALTH INC,"BRYN Resources Inc. provides corporate, capital, and communication services for small businesses worldwide. The company operates VybeOffice, an online tool that allows you to manage company online from a single portal. It also offers stock issuance, transfer, custodial, and registrar services."
CELG,0.4708,CELGENE CORP,"Celgene Corporation, a biopharmaceutical company, discovers, develops, and commercializes therapies for the treatment of cancer and inflammatory diseases worldwide."
DISH,0.471,DISH NETWORK CORP,"DISH Network Corporation, together with its subsidiaries, provides pay-TV services in the United States. The company operates in two segments, Pay-TV and Wireless."
ETFC,0.4735,E TRADE FINANCIAL CORP,"E*TRADE Financial Corporation, a financial services company, provides brokerage, and related products and services for traders, investors, registered investment advisors (RIAs), and stock plan administrators and participants."
AXP,0.5071,AMERICAN EXPRESS CO,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services."
APH,0.5073,AMPHENOL CORP,"Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally."
CTSH,0.5117,COGNIZANT TECH SOLUTIONS,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally."
OMC,0.5144,OMNICOM GROUP,"Omnicom Group Inc., together with its subsidiaries, provides advertising, marketing, and corporate communications services. It provides a range of services in the areas of advertising, customer relationship management, public relations, and healthcare."
ZION,0.5263,ZIONS BANCORPORATION NA,"Zions Bancorporation, National Association provides various banking and related services primarily in Arizona, California, Colorado, Idaho, Nevada, New Mexico, Oregon, Texas, Utah, Washington, and Wyoming."
MWW,0.5315,MONSTER WORLDWIDE INC,"Monster Worldwide, Inc., together with its subsidiaries, provides online and mobile employment and recruitment solutions worldwide. The company operates in three segments: Careers-North America, Careers-International, and Internet Advertising & Fees."
