,dist,conm,busdesc
NFX,0.0,NEWFIELD EXPLORATION CO,"Ovintiv Exploration Inc. engages in the exploration, development, and production of crude oil, natural gas, and natural gas liquids in the United States. Ovintiv Exploration Inc. was formerly known as Newfield Exploration Company and changed its name to Ovintiv Exploration Inc. in 2020."
FANG,0.2605,DIAMONDBACK ENERGY INC,"Diamondback Energy, Inc., an independent oil and natural gas company, focuses on the acquisition, development, exploration, and exploitation of unconventional and onshore oil and natural gas reserves in the Permian Basin in West Texas."
APA,0.2894,APACHE CORP,"Apache Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids (NGLs)."
NOV,0.3395,NATIONAL OILWELL VARCO INC,"National Oilwell Varco, Inc. designs, constructs, manufactures, and sells systems, components, and products for oil and gas drilling and production worldwide. It operates through three segments: Wellbore Technologies, Completion & Production Solutions, and Rig Technologies."
CXO,0.3566,CONCHO RESOURCES INC,"Concho Resources Inc., an independent oil and natural gas company, engages in the acquisition, development, and exploration of oil and natural gas properties in the United States. The company's principal operating areas are located in the Permian Basin of West Texas and southeast New Mexico."
JEF,0.3614,JEFFERIES FINANCIAL GRP INC,"Jefferies Financial Group Inc., a diversified financial services company, engages in investment banking and capital markets, asset management, and direct investing businesses in the Americas, Europe, the Middle East, Africa, and Asia."
APC,0.399,ANADARKO PETROLEUM CORP,"Anadarko Petroleum Corporation engages in the exploration, development, production, and marketing of oil and gas properties. It operates through three segments: Exploration and Production, WES Midstream, and Other Midstream."
SNA,0.4101,SNAP-ON INC,"Snap-on Incorporated manufactures and markets tools, equipment, diagnostics, and repair information and systems solutions for professional users worldwide."
FTI,0.4123,TECHNIPFMC PLC,"TechnipFMC plc engages in the oil and gas projects, technologies, and systems and services businesses. It operates through three segments: Subsea, Technip Energies, and Surface Technologies."
NCR,0.4416,NCR CORP,"NCR Corporation provides software and services worldwide. The company operates through Banking, Retail, Hospitality, and Other segments."
SWN,0.455,SOUTHWESTERN ENERGY CO,"Southwestern Energy Company, an independent energy company, engages in the exploration, development, and production of natural gas, oil, and natural gas liquids (NGLs) in the United States. It operates through Exploration and Production, and Marketing segments."
ADS,0.4634,ALLIANCE DATA SYSTEMS CORP,"Alliance Data Systems Corporation provides data-driven marketing and loyalty solutions in the United States, Canada, Europe, the Middle East, Africa, the Asia Pacific, and others. It operates through two segments, LoyaltyOne and Card Services."
RDC,0.4656,ROWAN COMPANIES LTD,"Rowan Companies Limited provides offshore contract drilling services to the oil and gas industry. It operates through three segments: Deepwater, Jack-ups, and ARO. The Deepwater segment operates 4 ultra-deepwater drillships. The Jack-ups segment operates 15 self-elevating jack-up rigs."
UIS,0.4667,UNISYS CORP,"Unisys Corporation operates as an information technology company worldwide. It operates in two segments, Services and Technology. The Services segment offers cloud and infrastructure services, application services, and business process outsourcing services."
TWTR,0.4908,TWITTER INC,"Twitter, Inc. operates as a platform for public self-expression and conversation in real time United States and internationally."
WMB,0.5106,WILLIAMS COS INC,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Atlantic-Gulf, Northeast G&P, and West segments."
EQT,0.5169,EQT CORP,"EQT Corporation operates as a natural gas production company in the United States. The company produces natural gas, natural gas liquids (NGLs), and crude oil."
BR,0.524,BROADRIDGE FINANCIAL SOLUTNS,"Broadridge Financial Solutions, Inc. provides investor communications and technology-driven solutions for the financial services industry worldwide."
OXY,0.5442,OCCIDENTAL PETROLEUM CORP,"Occidental Petroleum Corporation, together with its subsidiaries, engages in the acquisition, exploration, and development of oil and gas properties in the United States, the Middle East, and Latin America."
AIG,0.5601,AMERICAN INTERNATIONAL GROUP,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers in North America and internationally."
MPC,0.5738,MARATHON PETROLEUM CORP,"Marathon Petroleum Corporation, together with its subsidiaries, engages in refining, marketing, retailing, and transporting petroleum products primarily in the United States. It operates through three segments: Refining & Marketing, Retail, and Midstream."
FPL,0.5758,FIRST TR NEW OPP MLP &ENERGY,First Trust New Opportunities MLP & Energy Fund is a closed-ended balanced mutual fund launched and managed by First Trust Advisors L.P. It is co-managed by Energy Income Partners LLC. The fund invests in the public equity and fixed income markets of the United States.
NWL,0.5854,NEWELL BRANDS INC,"Newell Brands Inc. designs, manufactures, sources, and distributes consumer and commercial products worldwide. The company operates through four segments: Appliances and Cookware, Food and Commercial, Home and Outdoor Living, and Learning and Development."
HWM,0.5908,HOWMET AEROSPACE INC,Howmet Aerospace Inc. provides advanced engineered solutions for the aerospace and transportation industries.
GCI,0.5911,GANNETT CO INC,"Gannett Co., Inc. operates as a media and marketing solutions company in the United States. It operates in Publishing and Marketing Solutions segments."
