,dist,conm,busdesc
APD,0.0,AIR PRODUCTS & CHEMICALS INC,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide."
DHI,0.0004,D R HORTON INC,"D.R. Horton, Inc. operates as a homebuilding company in East, Midwest, Southeast, South Central, Southwest, and West regions in the United States. It engages in the acquisition and development of land; and construction and sale of homes in 29 states and 88 markets under the names of D.R."
HSIC,0.0007,HENRY SCHEIN INC,"Henry Schein, Inc., a solutions company for health care professionals, provides health care products and services to office-based dental practitioners and laboratories, physician practices, government, institutional health care clinics, and other alternate care clinics worldwide."
POOL,0.0013,POOL CORP,"Pool Corporation distributes swimming pool supplies, equipment, and related leisure products in the United States and internationally."
MRO,0.0019,MARATHON OIL CORP,Marathon Oil Corporation operates as an independent exploration and production company in the United States and Equatorial Guinea.
AMCR,0.0021,AMCOR PLC,"Amcor plc develops, manufactures, and sells various packaging products for food, beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries worldwide. It operates through two segments, Flexibles and Rigid Packaging."
WST,0.0024,WEST PHARMACEUTICAL SVSC INC,"West Pharmaceutical Services, Inc. manufactures and sells containment and delivery systems for injectable drugs and healthcare products in the United States, Germany, Ireland, France, Other European countries, and internationally."
DVN,0.0037,DEVON ENERGY CORP,"Devon Energy Corporation, an independent energy company, primarily engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. It operates approximately 3,955 gross wells."
MRK,0.0045,MERCK & CO,"Merck & Co., Inc. provides healthcare solutions worldwide."
APC,0.0046,ANADARKO PETROLEUM CORP,"Anadarko Petroleum Corporation engages in the exploration, development, production, and marketing of oil and gas properties. It operates through three segments: Exploration and Production, WES Midstream, and Other Midstream."
PNR,0.0047,PENTAIR PLC,"Pentair plc provides various smart water solutions worldwide. It operates through three segments: Aquatic Systems, Filtration Solutions, and Flow Technologies."
AME,0.0052,AMETEK INC,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates through two segments, Electronic Instruments (EIG) and Electromechanical (EMG)."
PWR,0.0056,QUANTA SERVICES INC,"Quanta Services, Inc. provides specialty contracting services in the United States, Canada, Australia, Latin America, and internationally."
WAT,0.0058,WATERS CORP,"Waters Corporation, a specialty measurement company, provides analytical workflow solutions in Asia, the Americas, and Europe. It operates through two segments, Waters and TA."
KMB,0.0061,KIMBERLY-CLARK CORP,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care and consumer tissue products worldwide. It operates through three segments: Personal Care, Consumer Tissue, and K-C Professional."
UHS,0.0063,UNIVERSAL HEALTH SVCS INC,"Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, outpatient facilities, and behavioral health care facilities. The company operates through Acute Care Hospital Services, Behavioral Health Care Services, and Other segments."
RRD,0.0069,DONNELLEY (R R) & SONS CO,"R.R. Donnelley & Sons Company, an integrated communications provider, enables organizations to create, manage, deliver, and optimize their multichannel marketing and business communications."
NFX,0.008,NEWFIELD EXPLORATION CO,"Ovintiv Exploration Inc. engages in the exploration, development, and production of crude oil, natural gas, and natural gas liquids in the United States. Ovintiv Exploration Inc. was formerly known as Newfield Exploration Company and changed its name to Ovintiv Exploration Inc. in 2020."
EMR,0.0098,EMERSON ELECTRIC CO,"Emerson Electric Co. designs and manufactures technology and engineering products for industrial, commercial, and consumer markets worldwide. It operates through Automation Solutions and Commercial & Residential Solutions segments."
AOS,0.01,SMITH (A.O.),"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World."
