,dist,conm,busdesc
JWN,0.0,NORDSTROM INC,"Nordstrom, Inc., a fashion retailer, provides apparels, shoes, cosmetics, and accessories for women, men, young adults, and children."
ACS,0.0035,AFFILIATED COMPUTER SERVICES,"Conduent Business Services, LLC provides digital platforms and services for Fortune 100 companies and government entities worldwide."
EMR,0.0039,EMERSON ELECTRIC CO,"Emerson Electric Co. designs and manufactures technology and engineering products for industrial, commercial, and consumer markets worldwide. It operates through Automation Solutions and Commercial & Residential Solutions segments."
AGN,0.004,ALLERGAN PLC,"Allergan plc, a pharmaceutical company, develops, manufactures, and commercializes branded pharmaceutical, device, biologic, surgical, and regenerative medicine products worldwide. The company operates in three segments: US Specialized Therapeutics, US General Medicine, and International."
TWC,0.0046,TIME WARNER CABLE INC,"Spectrum Management Holding Company, LLC, together with its subsidiaries, provides video, high-speed data, and voice services in the United States. It operates in three segments: Residential Services, Business Services, and Other Operations."
TT,0.0048,TRANE TECHNOLOGIES PLC,"Trane Technologies plc provides climate control solutions for buildings, homes, and transportation."
AME,0.0048,AMETEK INC,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates through two segments, Electronic Instruments (EIG) and Electromechanical (EMG)."
MHK,0.0048,MOHAWK INDUSTRIES INC,"Mohawk Industries, Inc. designs, manufactures, sources, distributes, and markets flooring products for remodeling and new constructions of residential and commercial spaces in the United States, Europe, Russia, and internationally."
RCL,0.0056,ROYAL CARIBBEAN GROUP,"Royal Caribbean Group operates as a cruise company. The company operates cruises under the Royal Caribbean International, Celebrity Cruises, Azamara Club Cruises, and Silversea Cruises brands."
MSI,0.0061,MOTOROLA SOLUTIONS INC,"Motorola Solutions, Inc. provides mission-critical communication solutions the United States, the United Kingdom, Canada, and internationally. The company operates in two segments, Products and Systems Integration, and Services and Software."
ATI,0.0061,ALLEGHENY TECHNOLOGIES INC,"Allegheny Technologies Incorporated manufactures and sells specialty materials and components worldwide. The company operates in two segments, High Performance Materials & Components and Advanced Alloys & Solutions."
APD,0.0067,AIR PRODUCTS & CHEMICALS INC,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide."
PWR,0.0068,QUANTA SERVICES INC,"Quanta Services, Inc. provides specialty contracting services in the United States, Canada, Australia, Latin America, and internationally."
WST,0.007,WEST PHARMACEUTICAL SVSC INC,"West Pharmaceutical Services, Inc. manufactures and sells containment and delivery systems for injectable drugs and healthcare products in the United States, Germany, Ireland, France, Other European countries, and internationally."
DHI,0.0074,D R HORTON INC,"D.R. Horton, Inc. operates as a homebuilding company in East, Midwest, Southeast, South Central, Southwest, and West regions in the United States. It engages in the acquisition and development of land; and construction and sale of homes in 29 states and 88 markets under the names of D.R."
SLR,0.0081,SOLECTRON CORP,Flextronics Corporation engages in electronics manufacturing and supply chain management services to original equipment manufacturers in the electronics products and technology markets worldwide.
RTN,0.0083,RAYTHEON CO,"Raytheon Company develops technologically advanced and integrated products, services, and solutions for the defense and other government markets worldwide."
MRK,0.0092,MERCK & CO,"Merck & Co., Inc. provides healthcare solutions worldwide."
SPGI,0.0096,S&P GLOBAL INC,"S&P Global Inc., together with its subsidiaries, provides ratings, benchmarks, analytics, and data to the capital and commodity markets worldwide."
PCL,0.0097,PLUM CREEK TIMBER CO INC,"As on February 19, 2016, Plum Creek Timber Co. Inc. was acquired by Weyerhaeuser Co. Plum Creek Timber Company, Inc. is a privately owned real estate investment trust (REIT). The trust owns and manages timberlands in the United States."
SLB,0.0108,SCHLUMBERGER LTD,"Schlumberger Limited supplies technology for reservoir characterization, drilling, production, and processing to the oil and gas industry worldwide. It operates in four divisions: Digital & Integration, Reservoir Performance, Well Construction, and Production Systems."
NOVL,0.0113,NOVELL INC,"Novell, Inc. provides Net services software solutions that deliver services to secure various networks that include the Internet, intranets, extranets, wired to wireless networks, and corporate and public networks."
AVB,0.0166,AVALONBAY COMMUNITIES INC,"As of September 30, 2020, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 86,676 apartment homes in 11 states and the District of Columbia, of which 19 communities were under development and one community was under redevelopment."
XTO,0.0295,XTO ENERGY INC,XTO Energy Inc. extracts natural gas from shale and other tight formations. It also produces crude oil and natural gas liquids in the United States. The company owns interests in various oil and natural gas wells in the United States. XTO Energy Inc.
