,dist,conm,busdesc
PSX,0.0,PHILLIPS 66,"Phillips 66 operates as an energy manufacturing and logistics company. It operates through four segments: Midstream, Chemicals, Refining, and Marketing and Specialties (M&S)."
ADM,0.0059,ARCHER-DANIELS-MIDLAND CO,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition."
EA,0.013,ELECTRONIC ARTS INC,"Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide."
PXD,0.0142,PIONEER NATURAL RESOURCES CO,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations primarily in the Permian Basin in West Texas."
FLR,0.0204,FLUOR CORP,"Fluor Corporation, through its subsidiaries, provides engineering, procurement, construction, fabrication and modularization, operation, maintenance and asset integrity, and project management services worldwide."
VLO,0.0242,VALERO ENERGY CORP,"Valero Energy Corporation manufactures and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Ethanol, and Renewable Diesel."
COST,0.0244,COSTCO WHOLESALE CORP,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan."
ANDV,0.0252,ANDEAVOR,"Andeavor, through its subsidiaries, operates as an independent petroleum refining, logistics, and marketing company in the United States. The company operates in three segments: Marketing, Logistics, and Refining."
TTWO,0.0256,TAKE-TWO INTERACTIVE SFTWR,"Take-Two Interactive Software, Inc. develops, publishes, and markets interactive entertainment solutions for consumers worldwide. The company offers its products under the Rockstar Games and 2K labels, as well as under Private Division and Social Point labels."
VMC,0.0257,VULCAN MATERIALS CO,"Vulcan Materials Company produces and supplies construction materials primarily in the United States. The company operates through four segments: Aggregates, Asphalt, Concrete, and Calcium."
HUM,0.0268,HUMANA INC,"Humana Inc., together with its subsidiaries, operates as a health and well-being company in the United States. It operates through Retail, Group and Specialty, and Healthcare Services segments. The company offers medical and supplemental benefit plans to individuals."
ESRX,0.0281,EXPRESS SCRIPTS HOLDING CO,Express Scripts Holding Company operates as a pharmacy benefit management (PBM) company in the United States and Canada.
BIG,0.0284,BIG LOTS INC,"Big Lots, Inc., through its subsidiaries, operates as a retailer in the United States."
WMT,0.0369,WALMART INC,"Walmart Inc. engages in the retail and wholesale operations in various formats worldwide. The company operates in three segments: Walmart U.S., Walmart International, and Sam's Club."
JCI,0.0422,JOHNSON CONTROLS INTL PLC,"Johnson Controls International plc operates as a diversified technology and multi industrial company worldwide. It operates through Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products segments."
JNY,0.0424,JONES GROUP INC,"Premier Brands Group Holdings LLC designs, markets, and wholesales apparel, footwear, jeanswear, jewelry, and handbags in the United States and internationally."
SYY,0.0431,SYSCO CORP,"Sysco Corporation, through its subsidiaries, markets and distributes a range of food and related products primarily to the foodservice or food-away-from-home industry in the United States, Canada, the United Kingdom, France, and internationally. It operates through three segments: U.S."
SAIC,0.0484,SCIENCE APPLICATIONS INTL CP,"Science Applications International Corporation provides technical, engineering, and enterprise information technology (IT) services primarily in the United States."
DVN,0.0509,DEVON ENERGY CORP,"Devon Energy Corporation, an independent energy company, primarily engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. It operates approximately 3,955 gross wells."
LUV,0.0533,SOUTHWEST AIRLINES,Southwest Airlines Co. operates a passenger airline that provides scheduled air transportation services in the United States and near-international markets.
QEP,0.067,QEP RESOURCES INC,"QEP Resources, Inc. operates as a crude oil and natural gas exploration and production company in the United States. The company conducts exploration and production activities in the Permian Basin in Western Texas; and Williston Basin in North Dakota."
CHK,0.0944,,
NOW,0.117,SERVICENOW INC,"ServiceNow, Inc. provides enterprise cloud computing solutions that defines, structures, consolidates, manages, and automates services for enterprises worldwide."
NFX,0.1379,NEWFIELD EXPLORATION CO,"Ovintiv Exploration Inc. engages in the exploration, development, and production of crude oil, natural gas, and natural gas liquids in the United States. Ovintiv Exploration Inc. was formerly known as Newfield Exploration Company and changed its name to Ovintiv Exploration Inc. in 2020."
