,dist,conm,busdesc
DDS,0.0,DILLARDS INC  -CL A,"Dillard's, Inc. operates retail department stores primarily in the Southeastern, Southwestern, and Midwestern areas of the United States."
MPC,0.0077,MARATHON PETROLEUM CORP,"Marathon Petroleum Corporation, together with its subsidiaries, engages in refining, marketing, retailing, and transporting petroleum products primarily in the United States. It operates through three segments: Refining & Marketing, Retail, and Midstream."
SIG,0.0114,SIGNET JEWELERS LTD,"Signet Jewelers Limited engages in the retail sale of diamond jewelry, watches, and other products. As of February 02, 2019, it operated 3,334 stores and kiosks. The company operates through three segments: North America, International, and Other."
GME,0.0134,GAMESTOP CORP,"GameStop Corp. operates as a multichannel video game, consumer electronics, and collectibles retailer in the United States, Canada, Australia, and Europe."
WBA,0.0148,WALGREENS BOOTS ALLIANCE INC,"Walgreens Boots Alliance, Inc. operates as a pharmacy-led health and beauty retail company. It operates through three segments: Retail Pharmacy USA, Retail Pharmacy International, and Pharmaceutical Wholesale."
VLO,0.0161,VALERO ENERGY CORP,"Valero Energy Corporation manufactures and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Ethanol, and Renewable Diesel."
WRK,0.0199,WESTROCK CO,"WestRock Company manufactures and sells paper and packaging solutions in North America, South America, Europe, Asia, and Australia. The company operates through Corrugated Packaging and Consumer Packaging segments."
DG,0.0217,DOLLAR GENERAL CORP,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States."
NBR,0.0227,NABORS INDUSTRIES LTD,"Nabors Industries Ltd. provides drilling and drilling-related services for land-based and offshore oil and natural gas wells. It operates through five segments: U.S. Drilling, Canada Drilling, International Drilling, Drilling Solutions, and Rig Technologies."
ANDV,0.0244,ANDEAVOR,"Andeavor, through its subsidiaries, operates as an independent petroleum refining, logistics, and marketing company in the United States. The company operates in three segments: Marketing, Logistics, and Refining."
BIG,0.0257,BIG LOTS INC,"Big Lots, Inc., through its subsidiaries, operates as a retailer in the United States."
PSX,0.026,PHILLIPS 66,"Phillips 66 operates as an energy manufacturing and logistics company. It operates through four segments: Midstream, Chemicals, Refining, and Marketing and Specialties (M&S)."
ADM,0.0294,ARCHER-DANIELS-MIDLAND CO,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition."
SANM,0.0344,SANMINA CORP,"Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, logistics, and after-market services worldwide. It operates in two segments, Integrated Manufacturing Solutions; and Components, Products and Services."
ETN,0.0373,EATON CORP PLC,Eaton Corporation plc operates as a power management company worldwide.
SUN,0.0406,SUNOCO LP,"Sunoco LP, together with its subsidiaries, engages in the distribution and retailing of motor fuels in the United States. It operates through two segments, Fuel Distribution and Marketing, and All Other."
PEAK,0.0544,HEALTHPEAK PROPERTIES INC,"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company."
