gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,dltt,dv,ebit,lt,sale,costat
001045,20001231,2000,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,5179.0000,26213.0000,5474.0000,0.0000,1381.0000,19037.0000,19703.0000,A
001045,20011231,2001,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6540.0000,32841.0000,9834.0000,0.0000,-1860.0000,27468.0000,18963.0000,A
001045,20021231,2002,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,4937.0000,30267.0000,12310.0000,0.0000,-2622.0000,29310.0000,17299.0000,A
001045,20031231,2003,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,4682.0000,29330.0000,13126.0000,0.0000,-795.0000,29284.0000,17440.0000,A
001045,20041231,2004,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,4971.0000,28773.0000,13524.0000,0.0000,-133.0000,29354.0000,18645.0000,A
001045,20051231,2005,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6164.0000,29495.0000,13456.0000,0.0000,102.0000,30973.0000,20712.0000,A
001045,20061231,2006,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6902.0000,29145.0000,12041.0000,0.0000,1060.0000,29751.0000,22563.0000,A
001045,20071231,2007,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,7229.0000,28571.0000,10093.0000,0.0000,1029.0000,25914.0000,22896.0000,A
001045,20081231,2008,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,5935.0000,25175.0000,9001.0000,0.0000,-573.0000,28110.0000,23766.0000,A
001045,20091231,2009,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6642.0000,25438.0000,10583.0000,0.0000,-745.0000,28927.0000,19917.0000,A
001045,20101231,2010,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6838.0000,25088.0000,9253.0000,0.0000,308.0000,29033.0000,22170.0000,A
001045,20111231,2011,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,6757.0000,23848.0000,6702.0000,0.0000,-286.0000,30959.0000,24022.0000,A
001045,20121231,2012,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,7072.0000,23510.0000,7116.0000,0.0000,494.0000,31497.0000,24855.0000,A
001045,20131231,2013,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,14323.0000,42278.0000,15353.0000,0.0000,1935.0000,45009.0000,26712.0000,A
001045,20141231,2014,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12112.0000,43771.0000,16196.0000,144.0000,5073.0000,41750.0000,42650.0000,A
001045,20151231,2015,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,9985.0000,48415.0000,18330.0000,278.0000,7284.0000,42780.0000,40990.0000,A
001045,20161231,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,10324.0000,51274.0000,22489.0000,224.0000,6007.0000,47489.0000,40180.0000,A
001045,20171231,2017,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,9146.0000,51396.0000,22511.0000,198.0000,4792.0000,47470.0000,42207.0000,A
001045,20181231,2018,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,8637.0000,60580.0000,29081.0000,186.0000,3449.0000,60749.0000,44541.0000,A
001045,20191231,2019,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,8206.0000,59995.0000,28875.0000,178.0000,3706.0000,60113.0000,45768.0000,A
001045,20201231,2020,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,11095.0000,62008.0000,36573.0000,43.0000,-11387.0000,68875.0000,17337.0000,A
001075,20001231,2000,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,793.9130,7149.1510,1955.0830,120.7330,675.9710,4766.4370,3690.1750,A
001075,20011231,2001,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,727.4050,7981.7480,2673.0780,129.1990,674.6270,5482.4250,4551.3730,A
001075,20021231,2002,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,812.6880,8425.8060,2881.6950,137.7210,516.0470,5739.6530,2637.2790,A
001075,20031231,2003,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,969.0470,9536.3780,2897.7250,157.4170,482.0530,6706.5990,2817.8520,A
001075,20041231,2004,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1137.1300,9896.7470,2584.9850,166.7720,506.2590,6946.5510,2899.7250,A
001075,20051231,2005,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1891.3920,11322.6450,2608.4550,186.6770,653.8510,7897.6810,2987.9550,A
001075,20061231,2006,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1474.6620,11455.9430,3232.6330,201.2200,618.8700,8009.8270,3401.7480,A
001075,20071231,2007,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,947.4470,11243.7120,3127.1250,210.4730,619.2510,7712.1010,3523.6200,A
001075,20081231,2008,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,882.4820,11620.0930,3031.6030,204.2470,530.5460,8174.1140,3367.0760,A
001075,20091231,2009,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,928.7370,11808.1550,3370.5240,205.0760,580.2260,8462.4750,3297.1010,A
001075,20101231,2010,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,931.9300,12362.7030,3045.7940,216.9790,723.8840,8587.4770,3263.6450,A
001075,20111231,2011,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,956.4700,13111.0180,3019.0540,221.7280,746.5080,9180.4320,3241.3790,A
001075,20121231,2012,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1005.7260,13379.6150,3199.0880,225.0750,851.7550,9277.3260,3301.8040,A
001075,20131231,2013,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1043.6090,13508.6860,2796.4650,235.2440,846.3230,9168.2260,3454.6280,A
001075,20141231,2014,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,973.4350,14313.5320,3031.2150,246.6710,811.2420,9794.4300,3491.6320,A
001075,20151231,2015,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,890.5160,15028.2580,3462.3910,260.0270,854.6020,10308.8010,3495.4430,A
001075,20161231,2016,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,822.2190,16004.2530,4021.7850,274.2290,855.9840,11068.3410,3498.6820,A
001075,20171231,2017,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1016.2880,17019.0820,4789.7130,289.7930,934.4270,11883.3520,3565.2960,A
001075,20181231,2018,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,924.9910,17664.2020,4638.2320,308.8920,773.6870,12315.4970,3691.2470,A
001075,20191231,2019,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1030.0300,18479.2470,4884.4300,329.6430,671.9600,12926.0590,3471.2090,A
001075,20201231,2020,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,1198.3190,20020.4210,6675.6020,350.5770,788.1520,14267.6280,3586.9820,A
001078,20001231,2000,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,7376.2410,15283.2540,1076.3680,1145.8940,3262.0680,6712.3480,13745.9160,A
